measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Time(hh:mm:ss),Label
0.0,-0.0028686523,-0.10076904,-0.07080078,5.763358599999999,2.6183207000000004,-2.2748091,2019-08-07 09:28:13,
1.0,-0.007873535,-0.10760498,-0.06921387,8.832061,-0.19847329,-1.7251908999999999,2019-08-07 09:28:13,
2.0,-0.014526367,-0.10089111,-0.06915283,3.0992367,2.3816792999999996,-2.0152671000000004,2019-08-07 09:28:13,
3.0,-0.011169433999999999,-0.10192871,-0.06677246,1.0534351,3.778626,-4.2442746,2019-08-07 09:28:13,
4.0,-0.009033203,-0.10247803,-0.060546875,16.435114000000002,2.4045799999999997,-5.6412214999999994,2019-08-07 09:28:13,
5.0,-0.008239746,-0.10388183599999999,-0.06774902,3.1908397999999996,1.2519083999999998,-4.0229006,2019-08-07 09:28:13,
6.0,-0.0073242188,-0.10015869,-0.06921387,-4.068702,0.78625953,-1.2671756,2019-08-07 09:28:13,
7.0,-0.00970459,-0.10272217,-0.06567383,-0.57251906,2.2442749,-1.4503816,2019-08-07 09:28:13,
8.0,-0.0020751953,-0.099609375,-0.07055664,2.6488549999999997,1.1221374,-2.6488549999999997,2019-08-07 09:28:13,
9.0,-0.0078125,-0.10821533,-0.06341553,2.0687022,1.9160305,-1.9541985,2019-08-07 09:28:13,
10.0,-0.01184082,-0.09753418,-0.067871094,-6.396946400000001,1.2061069,-1.1679389999999998,2019-08-07 09:28:13,
11.0,-0.011413574,-0.10461426,-0.0647583,-0.6793893,0.2977099,-2.8854961,2019-08-07 09:28:13,
12.0,-0.0115356445,-0.10290527,-0.06652832,4.7328243,3.038168,-4.40458,2019-08-07 09:28:13,
13.0,-0.011291503999999999,-0.11010742,-0.06896973,-1.0534351,1.5419847,-2.8625952999999997,2019-08-07 09:28:13,
14.0,-0.001159668,-0.09997558599999999,-0.066467285,-1.0610687,1.091603,-2.2442749,2019-08-07 09:28:13,
15.0,-0.004211426,-0.10491943,-0.06365967,-4.1221375,2.8549618999999997,-4.4274807,2019-08-07 09:28:13,
16.0,-0.012878418,-0.09893799,-0.06280517599999999,7.3511453,5.3511453,-6.5725193,2019-08-07 09:28:13,
17.0,0.00579834,-0.10858154,-0.07495117,21.06107,8.061069,-9.2213745,2019-08-07 09:28:13,
18.0,-0.0063476562,-0.11224365,-0.06597900400000001,-3.5190839999999994,5.740458,-4.0839696000000005,2019-08-07 09:28:13,
19.0,-0.0073242188,-0.11419678,-0.06060791,-7.89313,0.21374045,2.0152671000000004,2019-08-07 09:28:13,
20.0,0.0056152343999999995,-0.10089111,-0.06329346,-9.137404,-2.572519,2.5038167999999996,2019-08-07 09:28:13,
21.0,-0.0067749023,-0.09954834,-0.06341553,6.396946400000001,-0.99236643,-4.221374,2019-08-07 09:28:13,
22.0,-0.00970459,-0.10284424,-0.07147217,7.5801525,2.6030533,-4.9770994,2019-08-07 09:28:13,
23.0,-0.006042480500000001,-0.10278319999999999,-0.06689453,12.122137,6.4274807,-14.870229,2019-08-07 09:28:13,
24.0,0.0031738281,-0.105529785,-0.046936035,11.946565,6.587786,-12.129771,2019-08-07 09:28:14,
25.0,-0.0068359375,-0.10607910000000002,-0.055358887,0.07633588,1.961832,-12.167939,2019-08-07 09:28:14,
26.0,0.0029296875,-0.11425781,-0.061462402,-12.893129,-4.396946400000001,-4.7175574000000005,2019-08-07 09:28:14,
27.0,0.0028076171999999997,-0.11187744,-0.05633545,-60.49618,-6.6183205,5.519083999999999,2019-08-07 09:28:14,
