measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Time(hh:mm:ss),Label
0.0,0.0005493164,-0.00592041,-0.121276855,-0.22137405,2.2290077,-3.6946564,2019-08-05 11:08:29,-1.0
1.0,-0.0020141602,-6.1035156e-05,-0.12249756,0.091603056,3.2748091,-0.9694657,2019-08-05 11:08:29,-1.0
2.0,-0.008117675999999999,0.002746582,-0.124694824,0.7099236999999999,1.9389313,-2.778626,2019-08-05 11:08:29,-1.0
3.0,0.0026855469,0.002319336,-0.12207031,-1.1984733,2.3282442000000003,-1.0992366000000002,2019-08-05 11:08:29,-1.0
4.0,-0.0028076172,0.006713866999999999,-0.12536621,-1.0992366000000002,0.79389316,-2.6183207000000004,2019-08-05 11:08:29,-1.0
5.0,0.009887695,0.0024414062,-0.12164307,-0.8702290000000001,1.8931298,-2.5648854,2019-08-05 11:08:29,-1.0
6.0,-0.005737304699999999,-0.008361816,-0.12213135,0.053435113,1.4656489,-4.8015265,2019-08-05 11:08:29,-1.0
7.0,0.0007934570299999999,-0.0061035156000000005,-0.12164307,0.35114503,2.8854961,-3.221374,2019-08-05 11:08:29,-1.0
8.0,-0.0016479492000000002,-0.0016479492000000002,-0.1237793,-0.7480916,3.0839694,-4.0076337,2019-08-05 11:08:29,-1.0
9.0,0.003967285,0.0,-0.123291016,0.40458015,1.9312977,-0.53435117,2019-08-05 11:08:29,-1.0
10.0,-0.0018310547,-0.0005493164,-0.12561035,-1.1145039,2.9847329,-2.1908398,2019-08-05 11:08:29,-1.0
11.0,-0.0007324219,0.0040893555,-0.12573242,-0.33587787,1.5114504,-0.41221374,2019-08-05 11:08:29,-1.0
12.0,0.00036621094,0.0014038086,-0.124694824,-0.6946565,2.1068702,-2.465649,2019-08-05 11:08:29,-1.0
13.0,0.0006713867,-0.0008544922000000001,-0.124938965,0.8854962,2.1450381000000003,-4.1755724,2019-08-05 11:08:29,-1.0
14.0,0.0017089844,0.004638672,-0.12310791,0.36641222,1.908397,-2.442748,2019-08-05 11:08:29,-1.0
15.0,0.0018920898,0.0021972656,-0.12359619,-0.091603056,2.465649,-4.8396945,2019-08-05 11:08:29,-1.0
16.0,0.005737304699999999,-0.0021362305,-0.12176514,-1.6641221000000002,2.1984732000000005,-2.3969467,2019-08-05 11:08:29,-1.0
