measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Time(hh:mm:ss),Label
173.0,0.037963867000000005,-0.17480469,0.045837402,-1.3435115,-14.709924,22.091602,2019-08-05 14:07:47,0.0
174.0,0.021972656,-0.12750244,0.024780273,-31.725191,-12.656488,12.603053,2019-08-05 14:07:47,0.0
175.0,0.03363037,-0.12640381,0.03552246,38.53435,-10.755725,15.519084,2019-08-05 14:07:47,0.0
176.0,0.03918457,-0.13336182,0.036254883,-11.748092,-14.076335999999998,17.961832,2019-08-05 14:07:47,0.0
177.0,0.02508545,-0.11279297,0.033996582000000004,-8.7404585,-22.328245000000006,25.12977,2019-08-05 14:07:47,0.0
178.0,0.03173828,-0.09887695,0.017028809,-5.7099237,-17.61832,17.496183,2019-08-05 14:07:47,0.0
179.0,0.034973145,-0.10272217,0.021728516,-16.221375,-15.465649,14.793893,2019-08-05 14:07:47,0.0
180.0,0.039916992000000005,-0.09680176,0.01739502,-39.778625,-9.022901,14.183207,2019-08-05 14:07:47,0.0
181.0,0.024902344,-0.087402344,0.006713866999999999,-31.480917,-6.3435115999999985,8.2595415,2019-08-05 14:07:47,0.0
182.0,0.038208008,-0.09991455,0.0087890625,-29.595419,3.0458016,6.9847326,2019-08-05 14:07:47,0.0
183.0,0.024475098,-0.08972168,0.00970459,-45.44275,9.328244,1.5419847,2019-08-05 14:07:47,0.0
184.0,0.02722168,-0.08459473,0.0061035156000000005,-30.900763,25.366413,-6.9389315,2019-08-05 14:07:47,0.0
185.0,0.052490234,-0.097229004,0.00793457,-22.709923,30.595419,-7.0076337,2019-08-05 14:07:47,0.0
186.0,0.027404785,-0.11254883,0.0078125,-31.122137,31.396946000000003,-3.0076337000000004,2019-08-05 14:07:47,0.0
187.0,0.032226562,-0.11529541,0.0020141602,-52.053436,44.801525,-3.1526718,2019-08-05 14:07:47,0.0
188.0,0.038146973,-0.12725830000000002,-0.012023926,-24.93893,57.267174,1.5496184,2019-08-05 14:07:47,0.0
189.0,0.032409668,-0.124572754,0.0020751953,-59.22900799999999,53.83969499999999,10.358779,2019-08-05 14:07:47,0.0
190.0,0.026733398,-0.13677979,-0.011413574,-73.89313,55.603054,9.2213745,2019-08-05 14:07:47,0.0
191.0,0.0368042,-0.14221191,-0.050720215,3.480916000000001,31.770992,-11.091603,2019-08-05 14:07:47,0.0
192.0,0.010437012,-0.16278076,-0.006164551,61.633587,27.519083,4.1755724,2019-08-05 14:07:47,0.0
193.0,0.008361816,-0.16851807,0.002380371,75.061066,9.305344,-11.763359,2019-08-05 14:07:47,0.0
194.0,-0.0015869141,-0.14672852,0.013122559,42.885498,-8.664123,-28.015266,2019-08-05 14:07:47,0.0
195.0,0.027038574,-0.13854979999999995,0.011169434,44.59542,-8.290076,-15.145039,2019-08-05 14:07:47,0.0
196.0,0.022277832,-0.14044189999999998,0.007873535,40.328243,-0.73282444,3.0152671000000004,2019-08-05 14:07:47,0.0
197.0,0.012023926,-0.1295166,0.009338379,29.854961,7.0229006,4.0458016,2019-08-05 14:07:47,0.0
198.0,0.020568848,-0.11425781,0.006164551,28.70229,13.068703,5.8244276,2019-08-05 14:07:47,0.0
199.0,0.012207031,-0.09631348,0.011230469,34.801525,18.76336,1.6793894,2019-08-05 14:07:47,0.0
200.0,0.016784668,-0.095825195,0.014404297,32.664124,15.5801525,-5.740458,2019-08-05 14:07:47,0.0
201.0,0.025939941,-0.087768555,0.010864258,11.801527,17.908398000000005,-7.2671757,2019-08-05 14:07:47,0.0
202.0,0.022277832,-0.07788086,0.015197754,15.694656,12.297709,-7.1679387000000006,2019-08-05 14:07:47,0.0
203.0,0.02545166,-0.101501465,0.014160156,10.847328,12.4198475,-11.343512,2019-08-05 14:07:47,0.0
204.0,0.034973145,-0.12322998,0.024719238,-43.717556,15.335876999999998,-17.458015,2019-08-05 14:07:47,0.0
205.0,0.040771484,-0.11016846,0.0146484375,-58.0229,8.122137,-17.526718,2019-08-05 14:07:47,0.0
206.0,0.04748535,-0.11828613,0.008117675999999999,-1.4045801000000002,-1.2671756,-20.877863,2019-08-05 14:07:47,0.0
207.0,0.052001953,-0.1281128,0.0043945312,14.053435,-7.4503818,-31.89313,2019-08-05 14:07:47,0.0
208.0,0.052001953,-0.15893555,0.0119018555,-33.076336,-10.832061,-17.320610000000002,2019-08-05 14:07:48,0.0
209.0,0.05340576,-0.1161499,0.0015869141,-91.35114,-7.740458,-13.526717,2019-08-05 14:07:48,0.0
210.0,0.034179688,-0.12322998,-0.006225586,-38.9771,-28.946566,-18.778625,2019-08-05 14:07:48,0.0
211.0,0.016540527,-0.124938965,-0.009399414,-39.923664,-34.809162,-25.549618,2019-08-05 14:07:48,0.0
212.0,0.070373535,-0.13897705,-0.0004272461,-25.450382,-25.824427,-21.648855,2019-08-05 14:07:48,0.0
213.0,0.06921387,-0.15832520000000005,0.0025024414000000004,-38.625954,-49.816795,-0.39694658,2019-08-05 14:07:48,0.0
214.0,0.041259766,-0.14990234,-0.012878418,-18.32061,-61.76336,16.022902,2019-08-05 14:07:48,0.0
215.0,0.042297363,-0.13421631,0.0007324219,9.946565,-44.053436,16.816793,2019-08-05 14:07:48,0.0
216.0,0.05908203,-0.12628174,0.004638672,6.3435115999999985,-54.20611,14.610687,2019-08-05 14:07:48,0.0
217.0,0.044128418,-0.13067627,0.006042480500000001,20.183207,-54.748093,20.366413,2019-08-05 14:07:48,0.0
218.0,0.021057129,-0.10522461,-0.0018310547,30.770992,-56.40458,13.038168,2019-08-05 14:07:48,0.0
219.0,0.011779785,-0.09503174,0.0021972656,16.244274,-48.44275,7.961832000000001,2019-08-05 14:07:48,0.0
220.0,0.024658203,-0.09375,0.009887695,-11.541985,-40.85496,1.389313,2019-08-05 14:07:48,0.0
221.0,0.02154541,-0.09118652,0.0020141602,-29.832062,-36.0229,0.8091603,2019-08-05 14:07:48,0.0
222.0,0.024047852,-0.08374023400000001,-0.0068969727,-15.122137,-25.603054,2.5801528,2019-08-05 14:07:48,0.0
223.0,0.028747559,-0.08654785,-0.008850098,10.045801,-15.702291,-1.3587786,2019-08-05 14:07:48,0.0
224.0,0.028625488,-0.11651611,0.0,5.6183205,-6.3282440000000015,-5.961832,2019-08-05 14:07:48,0.0
225.0,0.026855469,-0.11450195,-0.005493164,-14.160305,0.57251906,-9.473283,2019-08-05 14:07:48,0.0
226.0,0.035705566,-0.10235596,-0.006591797,-15.557251999999998,8.946565,-11.793893,2019-08-05 14:07:48,0.0
227.0,0.040893555,-0.12762451,-0.009216309,-33.541985,5.091603299999999,-8.412213000000001,2019-08-05 14:07:48,0.0
228.0,0.03387451,-0.11602783,-0.020385742,-36.12214,15.549619,-1.9847329,2019-08-05 14:07:48,0.0
229.0,0.03363037,-0.13391113,-0.014953613,-23.022902,12.076336,-1.8167939,2019-08-05 14:07:48,0.0
230.0,0.038391113,-0.14147949,-0.018493652,-69.21374,17.633587,4.1374044,2019-08-05 14:07:48,0.0
231.0,0.06402588,-0.17260742,-0.050842285,-116.96183,-2.4580152,16.931297,2019-08-05 14:07:48,0.0
232.0,-0.0072021484,-0.15240479,-0.09075928,-2.8091602000000004,5.6488547,22.664122,2019-08-05 14:07:48,0.0
233.0,0.0049438477,-0.16809082,-0.04144287,32.801525,34.44275,5.2671757,2019-08-05 14:07:48,0.0
234.0,0.007019043000000001,-0.14270020000000005,-0.005859375,-63.83206,47.17557,0.6335878,2019-08-05 14:07:48,0.0
235.0,0.041015625,-0.09454346,-0.010925293,-63.984734,55.129772,11.061069,2019-08-05 14:07:48,0.0
236.0,0.023010254,-0.112976074,-0.0048217773,33.610687,-10.488549,33.46565,2019-08-05 14:07:48,0.0
237.0,0.0017700195,-0.101135254,-0.02557373,42.603054,23.687023,28.419847,2019-08-05 14:07:48,0.0
238.0,0.017456055,-0.100097656,-0.035095215,87.03053,27.068703000000006,19.778625,2019-08-05 14:07:48,0.0
239.0,0.016906738,-0.113220215,-0.01550293,72.94655999999998,24.725191,13.083969,2019-08-05 14:07:48,0.0
240.0,0.015380858999999997,-0.10949707,-0.022583008,-1.70229,22.549618,4.7022900000000005,2019-08-05 14:07:48,0.0
241.0,0.018920898,-0.07751465,-0.021728516,-12.938931,39.580154,0.3740458,2019-08-05 14:07:48,0.0
242.0,0.024536133,-0.092041016,-0.020324707,3.8396947,16.030535,-6.6488547,2019-08-05 14:07:48,0.0
243.0,0.020324707,-0.08807373,-0.022094727,-33.450382,19.687023,-9.847328,2019-08-05 14:07:49,0.0
244.0,0.033203125,-0.08087158,-0.027770996000000003,-36.34351,15.870229,-13.641221,2019-08-05 14:07:49,0.0
245.0,0.037963867000000005,-0.07928467,-0.027832031,-8.679389,-6.2900763,-10.229008,2019-08-05 14:07:49,0.0
246.0,0.034179688,-0.07922363,-0.026000977,26.0,-16.167938,-8.9007635,2019-08-05 14:07:49,0.0
247.0,0.04888916,-0.092041016,-0.020996094,56.312977,-28.969465000000003,0.96183205,2019-08-05 14:07:49,0.0
248.0,0.036865234,-0.10583496,-0.0146484375,70.71755999999998,-28.343512,10.748092,2019-08-05 14:07:49,0.0
249.0,0.038269043,-0.10638428,-0.012573242,51.267174,-23.51145,15.282443,2019-08-05 14:07:49,0.0
250.0,0.05505371,-0.13238525,-0.019714355,2.8473282,0.5496183000000001,44.267174,2019-08-05 14:07:49,0.0
251.0,0.034240723,-0.19567871,-0.0044555664,-30.91603,-77.60305,94.16794,2019-08-05 14:07:49,0.0
252.0,0.0014648438,-0.19580078,-0.018920898,-121.25191,-73.74045600000002,72.71755999999998,2019-08-05 14:07:49,0.0
253.0,-0.004699707,-0.20892334,-0.0037231445,-54.46565,-78.67939,87.03817,2019-08-05 14:07:49,0.0
254.0,0.0115356445,-0.23358154,-0.0045166016,-190.33588,-66.20611,77.45038000000002,2019-08-05 14:07:49,0.0
255.0,0.02758789,-0.09564209,0.013366699,-250.1374,-86.778625,18.534351,2019-08-05 14:07:49,0.0
256.0,6.1035156e-05,-0.070251465,-0.050354004,92.38931,-138.50381000000002,20.656488,2019-08-05 14:07:49,0.0
257.0,-0.014770508,-0.21643066,0.020629883,20.274809,-183.54199,21.076336,2019-08-05 14:07:49,0.0
258.0,-0.040039062,-0.1451416,-0.039001465,-202.77863,-75.25954399999998,-27.687023,2019-08-05 14:07:49,0.0
259.0,-0.009765625,-0.07141113,-0.05102539,-102.824425,-82.51908,-49.839695,2019-08-05 14:07:49,0.0
260.0,-0.05053711,-0.036315918,-0.10913086,48.839695,-33.984734,-31.274809,2019-08-05 14:07:49,0.0
261.0,0.008300781,-0.10888672,-0.030029297000000007,28.549618,-15.129771,-40.67939000000001,2019-08-05 14:07:49,0.0
262.0,0.007751465,-0.10107422,-0.035339355,-111.51908,-12.801527,-38.183205,2019-08-05 14:07:49,0.0
263.0,0.026855469,-0.095947266,-0.04827881,-55.57251700000001,-6.6412215,-55.809162,2019-08-05 14:07:49,0.0
264.0,-0.003112793,-0.07879639,-0.06335449,-11.38168,1.7480916000000002,-65.99235999999999,2019-08-05 14:07:49,0.0
265.0,-0.0014038086,-0.09338379,-0.04547119,-8.435115,-6.603053599999999,-54.37404599999999,2019-08-05 14:07:49,0.0
266.0,-0.017822266,-0.068481445,-0.05102539,-16.809160000000002,-16.648854999999998,-28.786259,2019-08-05 14:07:49,0.0
267.0,-0.029846191,-0.035705566,-0.050354004,73.29771,-14.954199,-13.496182999999998,2019-08-05 14:07:49,0.0
268.0,-0.02178955,-0.11413574,-0.053955078,96.47328,-0.22900763,12.59542,2019-08-05 14:07:49,0.0
269.0,-0.013122559,-0.14050293,-0.07714844,81.19847,-13.488549,61.312977,2019-08-05 14:07:49,0.0
270.0,-0.05041504,-0.07977295,-0.08441162,-8.648855000000001,12.137404,100.47328,2019-08-05 14:07:49,0.0
271.0,-0.07989502,-0.08276367,-0.05419922,40.900764,1.9694656000000004,96.01527,2019-08-05 14:07:49,0.0
272.0,-0.06781006,-0.085998535,-0.07971191400000001,40.16794,25.312977,107.71756,2019-08-05 14:07:49,0.0
273.0,-0.079589844,-0.08648682,-0.06689453,87.67939,29.74809,134.44275,2019-08-05 14:07:49,0.0
