measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Time(hh:mm:ss),Label
149.0,0.031921387,0.11621094,-0.038146973,-36.93893,8.78626,-6.4961834000000005,2019-09-03 17:15:57,5.0
150.0,0.024719237999999998,0.11071777,-0.029296875,-32.435116,6.885496000000001,-5.778626,2019-09-03 17:15:57,5.0
151.0,0.025512695,0.113464355,-0.03479004,-30.48855,5.3129773,-7.5725193,2019-09-03 17:15:57,5.0
152.0,0.024230957,0.111816406,-0.028747559,-29.068703000000003,6.3587785000000006,-8.923664,2019-09-03 17:15:57,5.0
153.0,0.032409667999999996,0.11480713,-0.026123047000000003,-41.946564,3.7099237,-10.801527,2019-09-03 17:15:57,5.0
154.0,0.033508300000000005,0.10668945,-0.023986816,-18.793894,2.221374,-10.442748,2019-09-03 17:15:57,5.0
155.0,0.033508300000000005,0.11383057,-0.02520752,-9.480916,7.412214,-10.702291,2019-09-03 17:15:57,5.0
156.0,0.02532959,0.12457275400000001,-0.022033691,-9.305344,5.6793895,-11.305344,2019-09-03 17:15:57,5.0
157.0,0.017944336,0.1260376,-0.01977539,-18.236639999999998,8.106871,-2.1374047000000003,2019-09-03 17:15:57,5.0
158.0,0.023132324,0.12042236,-0.024475097999999997,-28.343512,-7.038167999999999,-0.6183206,2019-09-03 17:15:57,5.0
159.0,0.030151367000000002,0.11743164,-0.02166748,-29.549618,1.2671756,-1.2061069,2019-09-03 17:15:57,5.0
160.0,0.03161621,0.12695312,-0.018493652,-28.10687,-1.5267175,7.076336,2019-09-03 17:15:57,5.0
161.0,0.024536132999999998,0.14312744,-0.008178711,-85.9542,-3.946565,19.183207,2019-09-03 17:15:57,5.0
162.0,0.021911621000000003,0.12475586,-0.009765625,-112.76336,-18.267176,27.213741,2019-09-03 17:15:57,5.0
163.0,0.022888184,0.12109375,-0.0031738281,-112.56488999999999,-24.282442,24.824427,2019-09-03 17:15:57,5.0
164.0,0.028320312,0.12152099599999999,0.022521972999999997,-126.89313,-18.748089999999998,22.931297,2019-09-03 17:15:57,5.0
165.0,0.024169922000000003,0.12908936,0.032409667999999996,-184.91603,-53.0,16.320610000000002,2019-09-03 17:15:57,5.0
166.0,0.026184082,0.13366699,0.03503418,-228.49618999999998,-71.80915999999999,6.1679387000000006,2019-09-03 17:15:57,5.0
167.0,0.04675293,0.12213135,0.019470215,-250.1374,-63.076336,3.6793892,2019-09-03 17:15:57,5.0
168.0,0.03717041,0.11029053,0.035217285,-250.1374,-53.351147,-10.702291,2019-09-03 17:15:57,5.0
169.0,0.04058838,0.08532715,0.047851562,-250.1374,-54.427482999999995,-27.076335999999998,2019-09-03 17:15:57,5.0
170.0,0.04876709,0.1003418,0.06378174,-250.1374,-45.969467,-31.007633000000002,2019-09-03 17:15:57,5.0
171.0,0.0435791,0.08636474599999999,0.07891846,-250.1374,-36.778625,-30.74809,2019-09-03 17:15:57,5.0
172.0,0.042114257999999995,0.060791015999999996,0.07983398400000001,-250.1374,-19.725191,-30.06107,2019-09-03 17:15:57,5.0
173.0,0.039978027,0.026550293,0.09075928,-97.0229,-5.961832,-31.0,2019-09-03 17:15:57,5.0
174.0,0.031982422,0.036132812,0.08947754,14.793892999999999,7.1679387000000006,-33.946564,2019-09-03 17:15:57,5.0
175.0,0.03387451,0.080078125,0.11102295,20.473282,5.5343513,-28.137404999999998,2019-09-03 17:15:57,5.0
176.0,0.041259766,0.053588867000000005,0.10595703,-24.801527,16.992367,-20.961832,2019-09-03 17:15:57,5.0
177.0,0.043640137,0.047424315999999994,0.10675049,-8.633588,15.916031,-18.145039,2019-09-03 17:15:57,5.0
178.0,0.0357666,0.05694580000000001,0.10778808599999999,-12.229008,12.312977,-14.320610999999998,2019-09-03 17:15:57,5.0
179.0,0.033996582000000004,0.06036377,0.11389160000000002,-19.183207,11.206107000000001,-12.854961,2019-09-03 17:15:57,5.0
180.0,0.043823242000000005,0.04547119,0.10803223,0.35877863,6.114504,-12.061069,2019-09-03 17:15:57,5.0
181.0,0.030090332,0.06774902,0.10974121,4.3893127,4.6946564,-10.961832000000001,2019-09-03 17:15:57,5.0
182.0,0.03302002,0.06317139,0.10748291,0.36641222,4.9770994,-10.679389,2019-09-03 17:15:57,5.0
183.0,0.034851073999999996,0.06274414,0.110839844,-9.2213745,6.80916,-9.015267,2019-09-03 17:15:57,5.0
184.0,0.028625487999999998,0.05340576,0.10510254,-1.5725191,6.152672,-6.1297708,2019-09-03 17:15:58,5.0
185.0,0.030090332,0.05596924,0.10369873,-1.8702290000000001,6.3053436,-5.6488547,2019-09-03 17:15:58,5.0
186.0,0.042053223,0.061767578,0.10882568,-8.526717,7.900763499999999,-4.923664,2019-09-03 17:15:58,5.0
