measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0,0.090148926,-0.08459473,0.05230713,27.10687,-89.03053,-27.221375,14
1,0.099365234,-0.04046631,0.056518555,-7.0534353,-93.07633,-32.12214,14
2,0.10809326,-0.04901123,0.05053711,-14.977099,-41.25954,-39.16794,14
3,0.09674072,-0.02545166,0.06555176,6.1755724,4.5419846,-64.84733,14
4,0.08929443,-0.01373291,0.0513916,-0.8854962,6.2519083,-105.64886,14
5,0.09686279,-0.030212402,0.041259766,-11.954199,13.748092,-149.19084,14
6,0.08062744,-0.09802246,0.01550293,-13.106871,70.1145,-159.24428,14
7,0.05633545,-0.18811035,-0.028076172,13.961832,49.229008,-165.83206,14
8,0.06695557,-0.4345703,-0.074401855,64.73283,32.64122,-141.96947,14
9,-0.103637695,-0.48516846,-0.026306152,71.32825,161.29007,-175.71756,14
10,-0.07928467,-0.45874023,-0.042907715,42.198475,99.15267,-250.1374,14
11,-0.16033936,-0.33239746,-0.107177734,63.46565,93.29771,-250.1374,14
12,-0.14215088,-0.15539551,-0.08947754,95.47328,90.900764,-223.10687,14
13,-0.11364746,-0.05029297,-0.060424805,-18.152672,132.41985,-142.39694,14
14,-0.08050537,0.016906738,-0.013427734,36.27481,187.1145,-98.78626,14
15,-0.09674072,0.06982422,-0.030639648,56.16794,226.83969,-40.16794,14
16,-0.14208984,0.10546875,-0.039123535,15.59542,198.70993,44.755726,14
17,-0.12884521,0.13903809,-0.022827148,-85.618324,160.33588,106.67939,14
18,-0.13110352,0.1015625,-7.93E-04,-152.00763,102.32825,150.0687,14
19,-0.13690186,0.037475586,-0.011169434,-131.89313,5.29771,180.69466,14
20,-0.14355469,0.009948731,-0.012817383,-79.83206,-77.08397,198.93893,14
21,-0.17553711,-0.07965088,-0.020874023,-92.05344,-120.03053,219.82443,14
22,-0.23626709,-0.35760498,-0.088012695,-250.1374,-173.96184,250.12978,14
23,-0.21490479,-0.4440918,-0.17797852,-250.1374,-250.1374,154.06107,14
24,-0.12963867,-0.44622803,-0.14208984,-250.1374,-250.1374,49.9771,14
25,-0.034057617,-0.3671875,-0.10229492,-30.961832,-178.23665,-5.19084,14
26,0.014343262,-0.19616699,-0.02545166,-49.14504,-152.59541,-1.3435115,14
27,0.03125,-0.19256592,-0.05444336,-21.404581,-98.16031,-11.106871,14
28,0.06518555,-0.119262695,-0.009033203,12.38168,-70.778625,-12.229008,14
29,0.08972168,-0.107177734,-0.002380371,9.0992365,-86.87786,-4.2824426,14
30,0.113586426,-0.07965088,0.026794434,11.450381,-35.572517,-0.65648854,14
31,0.10479736,-0.05303955,0.040100098,-23.244274,-2.2519083,-0.8167939,14
32,0.10333252,-0.069885254,0.035827637,-56.732826,15.091603,-16.007633,14
33,0.10601807,-0.084106445,0.011352539,-47.83206,65.41222,-48.030533,14
34,0.08886719,-0.08758545,0.007507324,6.183206,143.54199,-96.16031,14
35,0.045776367,-0.11743164,-0.024108887,64.496185,172.7939,-115.29771,14
36,0.026428223,-0.1675415,-0.075683594,98.908394,112.54962,-161.80153,14
37,0.050598145,-0.30480957,-0.14575195,97.58778,3.1374047,-135.9313,14
38,-0.036743164,-0.45916748,-0.25842285,-54.328243,250.12978,-106.64122,14
39,-0.20452881,-0.37438965,-0.15716553,105.35878,37.40458,-189.35115,14
40,-0.08581543,-0.28503418,-0.18676758,105.21374,186.77863,-199.50381,14
41,-0.15405273,-0.14117432,-0.1048584,148.18321,170.45801,-190.3435,14
42,-0.13562012,-0.037597656,-0.07824707,66.40458,138.12213,-123.16794,14
43,-0.08251953,0.012634277,-0.020812988,103.21374,170.31297,-72.854965,14
44,-0.10510254,0.07104492,-0.041870117,148.9771,217.12213,-15.564885,14
45,-0.14672852,0.12719727,-0.025756836,131.21375,166.82443,60.84733,14
46,-0.13201904,0.17114258,-0.005615234,18.526718,120.61069,111.580154,14
47,-0.14685059,0.12438965,-0.026794434,-91.37405,56.91603,162.93893,14
48,-0.14849854,0.06555176,-0.032043457,-115.175575,-59.82443,189.07634,14
49,-0.15771484,-0.01361084,-0.012084961,-136.87022,-127.21374,219.41985,14
50,-0.25054932,-0.40454102,-0.16290283,-250.1374,-234.45038,236.03053,14
51,-0.19085693,-0.46142578,-0.16296387,-250.1374,-250.1374,96.46565,14
52,-0.06463623,-0.4356079,-0.16455078,-189,-184.64885,57.70229,14
53,-0.013244629,-0.26776123,-0.03540039,-25.160305,-130.91603,8.137404,14
54,0.017028809,-0.22479248,-0.068481445,-73.908394,-149.87022,36.290077,14
55,0.06036377,-0.14819336,-0.014770508,2.0687022,-67.63359,18.465649,14
56,0.07067871,-0.12109375,-0.002624512,9.083969,-107.99236,26.526718,14
57,0.10058594,-0.1038208,0.014953613,9.442748,-91.03817,16.954199,14
58,0.07928467,-0.0770874,0.04510498,-0.53435117,44.351147,9.320611,14
59,0.061645508,-0.055236816,0.06304932,27.557251,62.74046,19.351145,14
60,0.07775879,-0.045166016,0.078186035,72.03817,11.977099,0.46564886,14
61,0.10211182,-0.040527344,0.055541992,60.21374,-31.633587,-64.580154,14
62,0.11871338,-0.043395996,0.024658203,28.496183,45.93893,-77.29771,14
63,0.093444824,-0.12445068,-0.027954102,-37.030533,125.57252,-82.12214,14
64,0.05822754,-0.322937,-0.115234375,-29.87023,139.15266,-108.19084,14
65,-0.010192871,-0.50616455,-0.25317383,63.755726,165.67175,-53.16794,14
66,-0.1897583,-0.35040283,-0.29522705,200.1374,101.183205,-225.87787,14
67,-0.16149902,-0.16796875,-0.16345215,200.8626,236.53435,-196.70993,14
68,-0.15106201,-0.059509277,-0.14013672,97.60305,92.48855,-149.6565,14
69,-0.1026001,0.003662109,-0.05279541,16.961832,152.61832,-94.259544,14
70,-0.08428955,0.035583496,-0.053955078,115.183205,187.71756,-33.72519,14
71,-0.1281128,0.13574219,-0.027770996,133.96184,166.82443,20.198473,14
72,-0.113586426,0.1616211,-0.028198242,9.633588,96.10687,57.732826,14
73,-0.105773926,0.15222168,-0.022521973,-61.305344,43.839695,98.55725,14
74,-0.12158203,0.10119629,-0.026794434,-132.21375,-15.59542,145.29007,14
75,-0.13903809,0.044311523,-0.02746582,-133.75572,-101.76336,162.68703,14
76,-0.16845703,-0.057006836,-0.023071289,-135.16794,-155.76335,177.67938,14
77,-0.2144165,-0.25457764,-0.12451172,-174.14503,-203.9542,174.49619,14
78,-0.24682617,-0.41571045,-0.21472168,-222.3435,-250.1374,164.70993,14
79,-0.14233398,-0.43725586,-0.13824463,-250.1374,-189.56488,78.15267,14
80,-0.09814453,-0.35333252,-0.12298584,-217.59541,-144.51144,25.755726,14
81,-0.014038086,-0.2617798,-0.053771973,-56.870228,-157.62596,-1.2290076,14
82,0.031311035,-0.17944336,-0.047424316,-60.15267,-105.8855,14.206107,14
83,0.047058105,-0.16052246,0.00769043,38.648853,-54.648853,8.40458,14
84,0.05645752,-0.119506836,0.013427734,117.099236,-51.290077,56.778625,14
85,0.08959961,-0.08807373,0.048034668,142.30534,-87.03817,22.152672,14
86,0.106933594,-0.032287598,0.033996582,82.20611,-99.53435,-31.404581,14
87,0.123535156,-0.033203125,0.047424316,-18.664122,-6.038168,-15.114504,14
88,0.109375,-0.05456543,0.053833008,-50.12214,60.625954,-50.267174,14
89,0.08795166,-0.05822754,0.04437256,-17.160305,88.91603,-100.36641,14
90,0.06732178,-0.08581543,0.031188965,-18.068703,112.778625,-118.75572,14
91,0.042053223,-0.18536377,-0.046447754,-15.427481,118.68702,-117.0458,14
92,0.023254395,-0.36816406,-0.12286377,41.435116,101.0458,-100.099236,14
93,-0.1706543,-0.4958496,-0.19470215,78.71756,242.1374,-81.419846,14
94,-0.2154541,-0.38879395,-0.20825195,223.61069,62.969467,-175.15266,14
95,-0.1515503,-0.24603271,-0.17443848,109.8855,189.22137,-206.03816,14
96,-0.17193604,-0.10217285,-0.16796875,77.740456,129.70993,-172.54199,14
97,-0.096069336,0.001953125,-0.071777344,-70.23664,57.267174,-149.2061,14
98,-0.07104492,-0.008239746,0.003234863,-67.80153,144.55725,-40.16794,14
99,-0.08581543,0.064208984,-0.016479492,128.78625,215.45038,-13,14
100,-0.1251831,0.15081787,-0.028747559,121.229004,148.42747,39.450382,14
101,-0.09967041,0.17510986,-0.020751953,-20.717558,87.92367,81.16031,14
102,-0.09490967,0.12145996,-0.015686035,-97,29.045801,113.145035,14
103,-0.11804199,0.09124756,-0.046691895,-134.22137,-44.20611,144.31297,14
104,-0.14056396,0.0501709,-0.044128418,-205.61832,-138.80916,162.61832,14
105,-0.19696045,-0.112854004,-0.1048584,-250.1374,-155.98473,195.80153,14
106,-0.32922363,-0.3684082,-0.27770996,-250.1374,-250.1374,215.37404,14
107,-0.2041626,-0.40167236,-0.21386719,-69.36641,-230.80153,65.34351,14
108,-0.1282959,-0.39282227,-0.17480469,-250.1374,-40.305344,69.44275,14
109,-0.09655762,-0.2946167,-0.12573242,2.832061,-116.25191,-25.694656,14
110,0.003051758,-0.20227051,-0.06488037,-43.664124,-163.9771,10.5801525,14
111,0.035827637,-0.1854248,-0.051208496,3.3816793,-75.259544,1.1603054,14
112,0.04486084,-0.14477539,0.0178833,77.175575,-80.40458,6.2748094,14
113,0.07128906,-0.09057617,0.048706055,63.35878,-95.0687,0.14503817,14
114,0.1005249,-0.07055664,0.04522705,1.3740458,-68.9313,-28.549618,14
