measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0,0.08190918,0.030822754,0.0015258789,20.625954,-36.59542,-111.72519,11
1,0.08880615,0.023620605,0.0154418945,30.282442,-23.74809,-87.05344,11
2,0.09918213,0.027770996,0.016784668,36.91603,-14.832061,-60.809162,11
3,0.11206055,0.025512695,0.018310547,24.717558,-2.0839694,-47.91603,11
4,0.13104248,0.034118652,0.02746582,-14.175572,16.549618,-39.15267,11
5,0.14624023,0.034301758,0.041931152,-58.335876,-9.480916,-46.992367,11
6,0.13061523,0.047058105,0.03869629,-71.38931,-32.389313,-55.328243,11
7,0.1459961,0.0748291,0.0048217773,-86.34351,-20.022902,-57.34351,11
8,0.18017578,0.083862305,0.0357666,-117.37405,14.954199,-54.610687,11
9,0.13824463,0.097351074,0.025146484,-118.9771,-38.900764,-89.94656,11
10,0.10876465,0.12261963,0.048339844,-93.20611,-36.335876,-126.78626,11
11,0.096191406,0.13049316,0.0052490234,-51.809162,-13.877863,-115.0229,11
12,0.089538574,0.12432861,0.007385254,-28.312977,-37.282444,-108.41222,11
13,0.0637207,0.12097168,-0.003112793,18.267176,-38.21374,-121.16794,11
14,0.04925537,0.10723877,-0.008178711,38.015266,-19.076336,-116.9771,11
15,0.05053711,0.101867676,0.0044555664,31.396946,-14.587787,-107.51145,11
16,0.034973145,0.08728027,0.0017700195,47.67939,-23.496183,-130.8626,11
17,0.015075684,0.07312012,0.004211426,38.20611,-17.908398,-153.46565,11
18,0.010986328,0.06347656,0.0079956055,20.610687,-15.702291,-154.38931,11
19,0.0020751953,0.05871582,-0.012939453,2.0839694,-38.129772,-150.90076,11
20,0.0048217773,0.08105469,-0.020812988,-17.42748,8.152672,-135.85497,11
21,0.003112793,0.087402344,0.0006103516,10.923664,23.290077,-86.29008,11
22,0.0045166016,0.08129883,-0.012329102,96.381676,25.08397,-33.335876,11
23,0.016540527,0.0602417,-0.019836426,106,41.76336,10.076336,11
24,0.03125,0.10223389,-0.013183594,8.587787,64.87023,2.9923663,11
25,0.03161621,0.12408447,-0.01928711,-40.419846,23.160305,-17.877863,11
26,0.0078125,0.13519287,-0.011291504,-46.427483,-7.7938933,-21.732824,11
27,0.021484375,0.15924072,-0.0018920898,-58.412212,-26.625954,16.778625,11
28,0.036254883,0.1708374,0.012817383,-34.969467,3.1526718,21.450382,11
29,0.016235352,0.13153076,0.013183594,8.977099,27.91603,22.580153,11
30,0.032470703,0.10821533,-0.014892578,-15.320611,38.351147,-9.519084,11
31,0.022338867,0.13928223,0.025024414,-53.587788,56.717556,3.8396947,11
32,0.018676758,0.12896729,-0.004760742,18.358778,7.0305343,30.480917,11
33,0.014831543,0.09106445,0.025939941,8.557252,-44.32061,-12.435115,11
34,-0.005432129,0.07867432,-0.029418945,-55.50382,-1.0076336,-15.664123,11
35,0.0003051758,0.0848999,0.015197754,-85.21374,25.335878,-11.832061,11
36,0.0017700195,0.11694336,-0.020996094,-52.51145,23.114504,-1.6870229,11
37,0.011169434,0.11199951,-0.013977051,26.557251,21,-7.4885497,11
38,0.005432129,0.11193848,0.000793457,33.839695,15.473283,-7.0229006,11
39,0.015563965,0.10601807,0.0020751953,46.282444,0.66412216,-1.7709924,11
40,0.020629883,0.10321045,0.012329102,9.442748,8.5801525,-7.2061067,11
41,0.021606445,0.12860107,0.012512207,-33.82443,6.076336,-0.3129771,11
42,0.02166748,0.12792969,0.019226074,-56.84733,14.4198475,-12.435115,11
43,0.02557373,0.15289307,0.029907227,-63.396946,-3.5496182,-14.091603,11
44,0.0154418945,0.12609863,0.02154541,-75.58778,2.4961832,-15.664123,11
