measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Time(hh:mm:ss),Label
0.0,0.12072754,0.049560547,-0.02319336,-44.946564,-0.77862597,28.282442,2019-08-19 11:23:44,10.0
1.0,0.11883545,0.04925537,-0.018493652,-41.206109999999995,-0.114503816,24.740458,2019-08-19 11:23:44,10.0
2.0,0.11462402,0.05493164,-0.025695799999999998,-37.83206,5.1755724,22.312977,2019-08-19 11:23:44,10.0
3.0,0.115234375,0.048461914,-0.020446777,-29.564885999999998,6.671755999999999,19.57252,2019-08-19 11:23:44,10.0
4.0,0.11755371,0.053649902,-0.030578612999999998,-25.053434,7.0534353,13.908397,2019-08-19 11:23:44,10.0
5.0,0.115722656,0.05303955,-0.028686523,-17.824427,6.4580154,7.259542,2019-08-19 11:23:44,10.0
6.0,0.11639404,0.051818848,-0.030273438,-16.290077,1.4732825,3.7633588,2019-08-19 11:23:44,10.0
7.0,0.12011719,0.04071045,-0.026672362999999998,-21.351145000000002,-0.8015267,0.54198474,2019-08-19 11:23:44,10.0
8.0,0.12280273400000001,0.05041504,-0.034057617000000005,-21.641222,-3.9007633000000004,-1.7786259999999998,2019-08-19 11:23:44,10.0
9.0,0.12268066400000001,0.04638672,-0.02758789,-21.122137,-6.183206,-2.908397,2019-08-19 11:23:44,10.0
10.0,0.1295166,0.044189453,-0.033996582000000004,-18.0,-7.534351299999999,-6.038168,2019-08-19 11:23:44,10.0
11.0,0.12359619,0.043884277,-0.033996582000000004,-10.297709,-5.931298,-8.206107000000001,2019-08-19 11:23:44,10.0
12.0,0.12738037,0.043823242000000005,-0.025390625,-6.259542,-6.4198474999999995,-7.59542,2019-08-19 11:23:44,10.0
13.0,0.12561035,0.046081542999999996,-0.022399902000000003,0.65648854,-5.8702292,-8.290076,2019-08-19 11:23:44,10.0
14.0,0.12573242,0.040771484,-0.026062012000000002,-0.38931298,-6.59542,-7.2442746,2019-08-19 11:23:44,10.0
15.0,0.12573242,0.033813477,-0.025939941,1.648855,-4.091603299999999,-5.740458,2019-08-19 11:23:44,10.0
16.0,0.13085938,0.040222167999999996,-0.026733398,7.4198475,-3.7328242999999994,-3.40458,2019-08-19 11:23:44,10.0
17.0,0.12792969,0.038879395,-0.022888184,6.6946563999999995,-2.427481,-1.1984733,2019-08-19 11:23:44,10.0
18.0,0.12371826,0.03277588,-0.024291992000000002,7.259542,-3.8854961,3.0305343,2019-08-19 11:23:44,10.0
19.0,0.12780762,0.035583496,-0.024291992000000002,3.0687022,-4.3893127,1.961832,2019-08-19 11:23:44,10.0
20.0,0.12109375,0.038269042999999996,-0.025695799999999998,-1.4656489,-7.480916000000001,3.4351146,2019-08-19 11:23:44,10.0
21.0,0.12084961,0.030639648,-0.020874023000000002,-5.1297708,-9.442748,3.1145039,2019-08-19 11:23:44,10.0
22.0,0.12066650400000001,0.039855957000000004,-0.024475097999999997,-12.885496,-14.412213000000001,1.0076336,2019-08-19 11:23:44,10.0
23.0,0.12469482400000001,0.038391113,-0.019897461,-18.809160000000002,-14.854961,-2.1374047000000003,2019-08-19 11:23:44,10.0
24.0,0.12573242,0.03125,-0.012756348,-24.603054,-16.007633,-5.923664,2019-08-19 11:23:44,10.0
25.0,0.11212158,0.034973145,-0.011291503999999999,-28.412214000000002,-13.38168,-5.8320612999999994,2019-08-19 11:23:44,10.0
26.0,0.11303711,0.039001465,-0.016113281,-26.900763,-6.145038,-4.1755724,2019-08-19 11:23:44,10.0
27.0,0.11242676,0.03967285,-0.01361084,-8.908397,0.6488550000000001,-0.32061067,2019-08-19 11:23:44,10.0
28.0,0.12048339999999998,0.03186035,-0.021972656,6.374046,7.221374000000001,5.1984735,2019-08-19 11:23:44,10.0
29.0,0.11590576,0.031677246,-0.022460938,9.732824,13.488548999999999,12.381680000000001,2019-08-19 11:23:44,10.0
30.0,0.12109375,0.03253174,-0.020751953,4.374046,13.450381,16.190839999999998,2019-08-19 11:23:44,10.0
31.0,0.11798096,0.03564453,-0.026306152000000003,-1.8702290000000001,13.244275,15.732823999999999,2019-08-19 11:23:44,10.0
32.0,0.12835693,0.040771484,-0.024719237999999998,-11.572519,10.564885,17.091601999999998,2019-08-19 11:23:45,10.0
33.0,0.12780762,0.045715332000000004,-0.024780273,-15.511451000000001,12.954199000000001,18.267176,2019-08-19 11:23:45,10.0
34.0,0.12902832,0.044799805,-0.020385742,-12.770992,11.053435,16.519083,2019-08-19 11:23:45,10.0
35.0,0.12628174,0.041015625,-0.020629883,-21.923664000000002,12.595419999999999,15.007632999999998,2019-08-19 11:23:45,10.0
36.0,0.12579346,0.043945312,-0.023803711,-16.435114000000002,12.755725,11.702291,2019-08-19 11:23:45,10.0
