measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Time(hh:mm:ss),Label
987,-0.011779785,-0.048095703,-0.10650635,14.5801525,-4.0610685,3.6183207,2019-08-08 14:08:57,5
988,-0.018188477,-0.03717041,-0.13049316,-18.801527,0.9160305,4.4198475,2019-08-08 14:08:57,5
989,-0.0045166016,-0.044433594,-0.117126465,24.770992,6.0152674,0.6870229,2019-08-08 14:08:57,5
990,-0.010925293,-0.0368042,-0.11682129,24.770992,0.8778626,2.8778627,2019-08-08 14:08:57,5
991,-0.013000488,-0.055786133,-0.11401367,19.732824,0.40458015,1.6412214,2019-08-08 14:08:57,5
992,-0.010925293,-0.046142578,-0.11187744,0.9847328,1.610687,2.9160306,2019-08-08 14:08:57,5
993,-0.012084961,-0.050231934,-0.101501465,-1.4503816,3.2290077,1.9312977,2019-08-08 14:08:57,5
994,-0.010131836,-0.04345703,-0.11053467,-5.5496182,1.0076336,5.557252,2019-08-08 14:08:57,5
995,-0.007507324,-0.039916992,-0.11932373,11.076336,1.7862595,3.793893,2019-08-08 14:08:57,5
996,-0.015625,-0.04852295,-0.10870361,16.442749,3.40458,2.0076337,2019-08-08 14:08:57,5
997,-0.0126953125,-0.04437256,-0.10998535,0.55725193,0.6946565,4.5725193,2019-08-08 14:08:57,5
998,-0.014282227,-0.0435791,-0.11401367,-0.4274809,1.7175573,1.6259542,2019-08-08 14:08:57,5
999,-0.01953125,-0.048583984,-0.11199951,-2.3206108,1.4427481,1.0763359,2019-08-08 14:08:57,5
1000,-0.010009766,-0.049865723,-0.114990234,-5.816794,2.8015268,-0.5801527,2019-08-08 14:08:57,5
1001,-0.016906738,-0.06072998,-0.11352539,-20.587786,4.328244,-4.8778625,2019-08-08 14:08:57,5
1002,-0.009887695,-0.057434082,-0.10498047,-42.21374,6.2290077,-6.587786,2019-08-08 14:08:57,5
1003,-0.012145996,-0.03857422,-0.11413574,-51.129772,7.7938933,-8.770992,2019-08-08 14:08:57,5
1004,-0.010498047,-0.0390625,-0.12188721,-41.84733,7.7328243,-6.6870227,2019-08-08 14:08:57,5
1005,-0.017028809,-0.033325195,-0.11651611,-53.572517,6.1679387,-1.961832,2019-08-08 14:08:57,5
1006,-0.013793945,-0.0234375,-0.12792969,-31.824427,6.1755724,-1.0534351,2019-08-08 14:08:57,5
1007,-0.004333496,-0.032104492,-0.113220215,-27.076336,7.2061067,-3.5267177,2019-08-08 14:08:57,5
1008,-0.0025024414,-0.027404785,-0.1116333,-37.32061,3.6030533,-2.70229,2019-08-08 14:08:57,5
1009,-0.016479492,-0.031066895,-0.11395264,-38.396946,1.0610687,-5.1984735,2019-08-08 14:08:57,5
1010,-0.018127441,-0.023742676,-0.122680664,-31.419847,4.0992365,-6.9465647,2019-08-08 14:08:57,5
1011,0.0022583008,-0.02154541,-0.11883545,-23.709923,5,-3.7328243,2019-08-08 14:08:57,5
1012,-0.006225586,-0.026000977,-0.11981201,-23.580153,2.7862597,-2.5419848,2019-08-08 14:08:57,5
