measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0,-0.011352539,0.09259033,-0.06329346,-14.702291,9.763359,-5.5419846,10
1,-0.011779785,0.09112549,-0.057495117,-17.648855,11.557252,-4.778626,10
2,-0.01159668,0.089416504,-0.05609131,-26.70229,12.748092,-7.1755724,10
3,-0.009216309,0.092285156,-0.057861328,-26.908398,11.946565,-5.221374,10
4,-0.01171875,0.09246826,-0.055908203,-30.847328,14.541985,-9.572519,10
5,-0.0095825195,0.09448242,-0.05444336,-41.748093,14.503817,-9.832061,10
6,-0.0063476562,0.097473145,-0.070495605,-49.89313,18.473282,-4.778626,10
7,-0.0095825195,0.09729004,-0.048461914,-51.83206,15.511451,-10.839695,10
8,-0.007080078,0.0982666,-0.046142578,-54.16794,16.67939,-10.137404,10
9,-0.008666992,0.10247803,-0.043884277,-65.48855,18.786259,-9.709924,10
10,-0.0078125,0.10284424,-0.04046631,-77.824425,19.633587,-11.671756,10
11,-0.00793457,0.107299805,-0.03656006,-84.07633,19.793894,-9.7404585,10
12,-0.0063476562,0.10986328,-0.032714844,-84.824425,19.167938,-10.709924,10
13,-0.009094238,0.10760498,-0.02960205,-88.0458,24.656488,-12.229008,10
14,-0.008972168,0.11224365,-0.014953613,-102.63359,26.786259,-15.007633,10
15,-0.0053100586,0.11608887,-0.010131836,-101.67175,26.610687,-12.152672,10
16,-0.0076904297,0.11437988,-0.010559082,-91.67175,28.473282,-13.534351,10
17,-0.006225586,0.116760254,0.003540039,-99.091606,26.374046,-20.885496,10
18,-0.0078125,0.12683105,0.005493164,-119.03817,29.175573,-19.496183,10
19,-0.012512207,0.12609863,0.012512207,-131.93893,32.671757,-21.641222,10
20,-0.007385254,0.12487793,0.017333984,-97.12214,24.12977,-15.358779,10
21,-0.010375977,0.13116455,0.024597168,-52.34351,14.641221,-15.137404,10
22,-0.012390137,0.12445068,0.025512695,-35.633587,13.847328,-14.854961,10
23,-0.017700195,0.117004395,0.033203125,-55.633587,16.580153,-11.175572,10
24,-0.011657715,0.1307373,0.047851562,-41.664124,15.641221,-12.389313,10
25,-0.010925293,0.12982178,0.033447266,-9.664123,10.694656,-14.687023,10
26,-0.0020141602,0.12145996,0.034057617,16.007633,1.9847329,0.4427481,10
27,-0.009277344,0.10412598,0.03466797,-10.7786255,2.038168,-1.8167939,10
28,-0.014587402,0.11444092,0.04333496,-73.541985,15.4198475,-11.687023,10
29,-0.008666992,0.11956787,0.038085938,-91.71756,16.435114,-20.664122,10
30,-0.013000488,0.124816895,0.036499023,-65.32061,10.061069,-12.946565,10
31,-0.011352539,0.111083984,0.06951904,-26.267176,3.335878,-15.694656,10
32,-0.0018310547,0.109558105,0.05279541,-39.412212,9.389313,0.8778626,10
33,-0.010681152,0.10467529,0.056396484,-89.541985,13.022901,-16.694656,10
34,-0.015686035,0.10650635,0.056762695,-137.71756,21.206106,-27.389313,10
35,-0.004211426,0.14434814,0.07470703,-64.41222,1.3358779,-2.221374,10
36,-0.021240234,0.09460449,0.08532715,3.6793892,-10.328244,-14.496183,10
37,-0.016296387,0.10241699,0.08544922,-40.74046,3.351145,10.870229,10
38,-0.010559082,0.108947754,0.08178711,-57.190838,6.6793895,0.48091602,10
39,-0.0134887695,0.113464355,0.0826416,-55.580154,11.38168,-10.709924,10
40,-0.008239746,0.11590576,0.079956055,-34.694656,9.305344,-3.648855,10
41,-0.014160156,0.11437988,0.08526611,-3.1526718,-2.7328243,-8.603053,10
42,-0.015136719,0.10736084,0.08288574,25.625954,-8.717557,1.7480916,10
