measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0,0.12109375,0.018676758,-0.007751465,13.38168,5.89313,0,12
1,0.12438965,0.02178955,-0.020996094,11.496183,3.5801528,1.0992366,12
2,0.11907959,0.02166748,-0.018859863,11.015267,0.6946565,2.4961832,12
3,0.118652344,0.023132324,-0.01574707,10.305344,-1.7862595,-0.14503817,12
4,0.12017822,0.025268555,-0.014038086,13.167939,-3.0305343,-0.9465649,12
5,0.11871338,0.02166748,-0.012390137,16.23664,-5.1603055,-2.59542,12
6,0.12426758,0.020629883,-0.014953613,17.625954,-5.961832,-3.183206,12
7,0.122680664,0.020874023,-0.015075684,15.816793,-7.9923663,0.36641222,12
8,0.124816895,0.02331543,-0.018310547,15.877863,-6.5114503,1.9694656,12
9,0.124694824,0.018371582,-0.003479004,16.725191,-6.3053436,0.10687023,12
10,0.12640381,0.021118164,-0.009094238,14.137404,-6.0458016,-2.0458016,12
11,0.12774658,0.019104004,-0.012878418,12.183207,-3.0992367,-6.221374,12
12,0.122558594,0.017333984,-0.01159668,15.633588,1.0610687,-13.0992365,12
13,0.116882324,0.016357422,-0.00793457,27.465649,3.9389312,-16.580153,12
14,0.11920166,0.014709473,-0.010986328,44.51145,7.7633586,-14.40458,12
15,0.11456299,0.01159668,-0.008117676,47.29771,8.091603,-12.274809,12
16,0.117614746,0.010070801,-0.011108398,43.732826,6.9160304,-8.534351,12
17,0.11785889,0.008972168,-0.014221191,35.70229,5.816794,-6.2137403,12
18,0.11981201,0.012573242,-0.012451172,26.648855,4.0610685,-2.053435,12
19,0.11993408,0.010253906,-0.01550293,22.91603,0.740458,-0.9465649,12
20,0.124572754,0.013122559,-0.016174316,21.328245,-0.53435117,-0.129771,12
21,0.12646484,0.010437012,-0.013671875,23.984734,-2.29771,-5.9541984,12
22,0.12872314,0.007446289,-0.01574707,28.160305,-4.8015265,-10.633588,12
23,0.12573242,0.006164551,-0.012023926,29.57252,-6.442748,-13.343512,12
24,0.12670898,0.0034179688,-0.010925293,30.503817,-8.40458,-12.244275,12
25,0.123413086,0.0031738281,-0.012817383,28.610687,-7.366412,-10.053435,12
26,0.11834717,0.0036010742,-0.010070801,26.022902,-5.3053436,-5.7175574,12
27,0.114990234,0.002380371,-0.013305664,27.42748,-3.259542,-3.70229,12
28,0.11413574,0.001953125,-0.019165039,29.732824,-2.1068702,2.3435113,12
29,0.11462402,0.006286621,-0.0178833,33.87786,-0.8015267,7.1374044,12
30,0.11230469,0.0072631836,-0.014221191,35.82443,-0.3053435,8.2595415,12
31,0.115356445,0.005554199,-0.01550293,33.099236,-1.0992366,8.748092,12
32,0.11602783,0.008605957,-0.016723633,27.70229,-1.9847329,5.3816795,12
33,0.118652344,0.010009766,-0.020324707,27.793894,-7.5419846,-0.40458015,12
34,0.11730957,0.007019043,-0.018310547,23.465649,-7.2290077,-7.0839696,12
35,0.12365723,0.010192871,-0.014465332,21.595419,-7.961832,-14.648855,12
36,0.12768555,0.0061035156,-0.018432617,34.251907,-6.1984735,-18.25191,12
37,0.13195801,0.0032958984,-0.019104004,46.312977,-4.5419846,-18.900763,12
38,0.12408447,-0.0038452148,-0.022155762,62.29771,-6.1679387,-22.229008,12
39,0.12432861,-0.003540039,-0.022888184,59.969467,-7.3206105,-22.137405,12
40,0.11627197,-0.0060424805,-0.026733398,58.27481,-8.290076,-20.404581,12
41,0.10784912,-0.012145996,-0.024353027,41.969467,-12.343512,-18.305344,12
42,0.1005249,-0.00793457,-0.022827148,18.404581,-12.312977,-13.664123,12
43,0.1026001,-0.0040283203,-0.016357422,3.3969467,-11.816793,-9.40458,12
44,0.10858154,0.0015258789,-0.018188477,-3.2137403,-8.656488,-4.6030536,12
45,0.10632324,0.005126953,-0.015258789,-7.8015265,-6.0839696,-5.8625956,12
46,0.109680176,0.008117676,-0.018127441,-5.4274807,3.687023,-2.0839694,12
47,0.10797119,0.009643555,-0.012268066,5.0458016,11.045801,-5.038168,12
48,0.117248535,0.0079956055,-0.025512695,25.435114,16.534351,-4.7557254,12
49,0.115234375,0.006225586,-0.024780273,41.435116,22.091602,-6.9389315,12
50,0.11016846,0.0004272461,-0.023254395,48.244274,20.57252,-15.305344,12
51,0.11218262,-0.0001831055,-0.028076172,41.564884,20.580153,-16.045801,12
52,0.10662842,-0.010498047,-0.026855469,34.65649,18.091602,-14.816793,12
53,0.11651611,-0.004211426,-0.022888184,22.80916,17.267176,-13.816793,12
54,0.1182251,-0.007873535,-0.029174805,13.541985,14.648855,-7.740458,12
