2019-05-23_22-09-48_Accelerometer
measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
76,-0.1531372,-0.4237671,-0.08453369,-97.824425,-165.17557,246.82443,1
77,-0.085510254,-0.4539795,-0.046203613,-111.79389,-132.51144,183.9771,1
78,-0.06011963,-0.37402344,-0.01550293,-101.618324,-108.145035,125.259544,1
79,-0.0064697266,-0.2559204,0.014221191,-37.40458,-134.32825,97.00764,1
80,0.02532959,-0.15533447,0.062072754,-74,-103.145035,152.51909,1
81,0.041809082,-0.07318115,0.018554688,-53.427483,-114.79389,121.16031,1
82,0.05230713,-0.06549072,0.082336426,-218.58015,-126.07633,22.38168,1
83,0.07897949,-0.124938965,0.019104004,-49.61832,-141.47328,-4.3893127,1
84,0.12023926,-0.055603027,0.06048584,67.47328,-108.07633,-3.389313,1
85,0.14666748,-0.020568848,0.050720215,52.282444,-125.71756,-46.839695,1
86,0.16741943,-0.016906738,-0.0057373047,8.59542,-24.946566,-70.83969,1
87,0.114746094,-0.33862305,-0.047973633,-133.29771,58.49618,-30.725191,1
88,-0.052490234,-0.6185913,-0.32769775,-43.267174,241.32062,-14.770992,1
89,-0.14642334,-0.44683838,-0.11053467,250.12978,149.40459,-237.52672,1
90,-0.08496094,-0.30651855,-0.111572266,115.83206,142.30534,-234.71756,1
91,-0.16290283,-0.24871826,-0.13665771,113.381676,218.57253,-217.6565,1
92,-0.074523926,-0.0115356445,-0.047058105,-204,-13.305344,-200.03816,1
93,-0.05505371,-0.074645996,-0.025146484,-153.19847,91.73283,-120.0458,1
94,-0.1116333,0.01373291,0.007873535,44.290077,99.229004,-49.48855,1
95,-0.10583496,0.0848999,0.021362305,43.91603,126.061066,0.9465649,1
96,-0.114990234,0.091918945,0.012756348,15.0992365,175.62596,62.10687,1
97,-0.12322998,0.09039307,-0.018554688,58.74046,173.07634,116.42748,1
98,-0.14526367,0.109375,-0.014526367,-10.839695,97.091606,166.46565,1
99,-0.16082764,0.07623291,-0.018127441,-133.0458,9.519084,201.19847,1
100,-0.15240479,-0.06604004,-0.008972168,-173.19847,-65.70229,210.00763,1
101,-0.22607422,-0.24749756,-0.07635498,-250.1374,-129.87787,250.12978,1
102,-0.2536621,-0.49084473,-0.17156982,-250.1374,-229.55725,236.45038,1
103,-0.15002441,-0.48571777,-0.16925049,-223.29771,-112.19847,87.64886,1
104,-0.11291504,-0.32104492,-0.05908203,-125.57252,-92.32825,38.809162,1
105,-0.028686523,-0.22174072,-0.038330078,-117.28244,-167.41985,9.045801,1
106,0.016235352,-0.17669678,-0.018615723,-147.58015,-108.51145,30.473282,1
107,0.007080078,-0.12683105,-0.0020751953,-126.48855,-68.32825,19.61832,1
108,0.03387451,-0.12200928,0.026672363,-142.64885,-122.60305,-6.7709923,1
109,0.04309082,-0.12011719,0.047180176,-4.9541984,-118.778625,-11.648855,1
110,0.07495117,-0.070129395,0.06335449,119.25191,-123.9771,3.6412213,1
111,0.09680176,-0.03729248,0.07348633,59.59542,-106.27481,-44.045803,1
112,0.11871338,-0.036865234,0.04156494,73.061066,-31.465649,-53.908398,1
113,0.12890625,-0.0423584,0.041931152,28.08397,23.053434,-87.52672,1
114,0.12084961,-0.10821533,0.037841797,-14.755725,89.67939,-83.32061,1
115,0.045166016,-0.44348145,-0.13726807,-105.60305,55.183205,-43.053436,1
116,-0.14703369,-0.6248779,-0.3552246,185.38168,181.771,-21.412214,1
117,-0.19799805,-0.4335327,-0.19628906,250.12978,45.190838,-187.68703,1
118,-0.25427246,-0.2642212,-0.19561768,250.12978,250.12978,-115.84733,1
119,-0.24243164,-0.09490967,-0.17401123,234.16794,41.85496,-191.0687,1
120,-0.13720703,0.0016479492,-0.053100586,27.641222,-26.183207,-250.1374,1
121,-0.11364746,-0.014282227,-0.029968262,-210.36641,72.79389,-168.7939,1
122,-0.13305664,-0.0032348633,-0.034606934,2.3206108,43.335876,-130.60306,1
123,-0.0925293,0.09942627,0.006591797,73.28244,17.076336,-59.603054,1
124,-0.11187744,0.11743164,-0.0040283203,14.938931,39.23664,16.213741,1
125,-0.08868408,0.09448242,-0.0115356445,-36.564884,11.0992365,76.79389,1
126,-0.07672119,0.07409668,-0.025390625,-82.8855,2.351145,146.91603,1
127,-0.09777832,0.062194824,-0.0018310547,-131.64885,-5.442748,192.77863,1
128,-0.27557373,-0.2841797,-0.123413086,-250.1374,-98.740456,250.12978,1
129,-0.31134033,-0.56695557,-0.33087158,-241.25954,-250.1374,234.74046,1
130,-0.1508789,-0.43792725,-0.076538086,19.08397,-24.29771,52.61832,1
131,-0.14611816,-0.29675293,-0.0725708,-233.3435,-51.038166,64.9542,1
132,-0.022277832,-0.27844238,-0.056274414,-178.38168,-226.87787,5.4274807,1
133,0.037963867,-0.23724365,-0.040161133,-117.27481,-87.00764,43.900764,1
134,0.021484375,-0.17980957,0.0029907227,-88.061066,-140.6565,-34.427483,1
135,0.079589844,-0.15960693,0.024597168,-213.78625,-183.9084,-15.2595415,1
136,0.11224365,-0.15258789,0.0071411133,3.6717558,-123.87786,-32.160305,1
137,0.1227417,-0.08843994,0.028137207,54.15267,-104.37405,-61.450382,1
138,0.13726807,-0.04071045,0.045043945,44,-70.9542,-69.503815,1
139,0.13122559,-0.047058105,0.04321289,6.664122,50.20611,-38.53435,1
140,0.09051514,-0.07324219,0.022155762,73.26717,101.816795,-87.580154,1
141,0.06048584,-0.08502197,-0.002746582,51.84733,123.73283,-121.07633,1
142,0.053344727,-0.20996094,-0.06097412,-8.274809,161.26718,-92.9771,1
143,-0.07183838,-0.50042725,-0.19458008,-149.64885,172.54962,-69.46565,1
144,-0.22265625,-0.49365234,-0.32318115,250.12978,197.1145,-106.32825,1
145,-0.20391846,-0.24700928,-0.22509766,250.12978,213.61832,-188.22137,1
146,-0.18609619,-0.12841797,-0.1661377,-3.6183207,181.51909,-197.38931,1
147,-0.1126709,-0.1060791,-0.12030029,-65.496185,39,-163.55725,1
148,-0.041809082,-0.064331055,-0.013244629,56.23664,154.05344,-117.72519,1
149,-0.09814453,-0.020141602,-0.011657715,87.99236,175.21375,-51.49618,1
150,-0.07141113,0.014404297,-0.02331543,181.0229,170.37404,-14.755725,1
151,-0.085998535,0.08862305,-0.053222656,250.12978,202.09924,21.480917,1
152,-0.14300537,0.15856934,-0.041809082,181.80916,45.282444,-3.3740458,1
153,-0.08203125,0.124938965,-0.033691406,-71.48092,-72.35114,13.885496,1
154,-0.08898926,0.06384277,-0.038085938,-132.08397,-98.221375,58.61832,1
155,-0.08709717,0.05041504,-0.038330078,-179.51909,-105.63359,100.1145,1
156,-0.056152344,-0.018920898,-0.01373291,-250.1374,-98.145035,154.32062,1
157,-0.115722656,-0.040649414,-0.0134887695,-113.03817,-78.89313,199.19084,1
158,-0.18597412,-0.17047119,-0.03955078,-168.63359,-65.618324,247.78625,1
159,-0.28686523,-0.44470215,-0.16571045,-250.1374,-114.259544,250.12978,1
160,-0.15112305,-0.36450195,-0.008239746,-85.67175,-105.1145,38.221375,1
161,-0.08862305,-0.22906494,-0.04058838,-250.1374,-112.41222,-13.679389,1
162,-0.037597656,-0.21990967,-0.08319092,-54.93893,-180.7481,-98.79389,1
163,0.033081055,-0.11450195,-0.0234375,59.045803,-223.40459,-80.91603,1
164,0.078125,-0.042541504,0.010437012,-20.167938,-121.84733,-57.549618,1
165,0.086364746,-0.059387207,0.010803223,-82,-144.06107,-39.366413,1
166,0.101501465,-0.039794922,-0.011352539,-80.26717,-76.229004,-85.25191,1
167,0.10473633,-0.026367188,-0.040161133,-128.48856,13.938931,-65.47328,1
168,0.09509277,-0.046875,-0.006164551,-111.44275,188.93893,-51.389313,1
169,0.057800293,-0.07171631,0.0126953125,33.61832,233.98473,-35.312977,1
170,0.037963867,-0.07745361,-0.0048217773,141.94656,198.9084,-23.984734,1
171,0.064575195,-0.12542725,-0.052978516,99.45038,167.87022,-41.396946,1
172,0.06585693,-0.30108643,-0.17633057,-79.99236,205.7481,-0.20610687,1
173,-0.030334473,-0.45983887,-0.37677002,155.23665,250.12978,20.67939,1
174,-0.13555908,-0.38897705,-0.206604,250.12978,250.12978,-133.45801,1
