measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
75,-0.0068359375,-0.11663818,0.016662598,3.8625953,14.297709,31.022902,10
76,-0.0008544922,-0.113220215,0.03668213,-27.89313,-9.068703,33.870228,10
77,-0.005432129,-0.1159668,0.020996094,-29.641222,-40.72519,35.664124,10
78,-0.0052490234,-0.11602783,0.003540039,-28.091602,-53.435116,41.190838,10
79,-0.009216309,-0.118652344,-0.010620117,-36.328243,-21.954199,39.366413,10
80,-0.011169434,-0.11883545,-0.011474609,-27.51145,-13.198473,42.190838,10
81,-0.0115356445,-0.13006592,-0.010864258,-61.671757,-29.816793,37.389313,10
82,-0.013000488,-0.122924805,-0.028808594,-78.42748,-36.282444,38.984734,10
83,-0.022705078,-0.111206055,-0.039916992,-38.541985,-21.816793,42.862595,10
84,-0.022705078,-0.114746094,-0.0211792,-38.335876,-6.8778625,41.687023,10
85,-0.025939941,-0.1116333,-0.0014648438,-79.778625,-8.931297,42.030533,10
86,-0.028930664,-0.10925293,-0.011474609,-106.21374,-27.862595,41.015266,10
87,-0.030944824,-0.10235596,-0.01940918,-112.53435,-63.229008,44.84733,10
88,-0.03741455,-0.09082031,-0.022338867,-117.816795,-66.52672,50.862595,10
89,-0.040039062,-0.08911133,-0.016479492,-101.83206,-64.28244,63.267174,10
90,-0.047973633,-0.09436035,-0.028381348,-84.900764,-66.91603,66.63359,10
91,-0.053955078,-0.083618164,-0.03857422,-89.96183,-72.03817,70.900764,10
92,-0.058288574,-0.07098389,-0.036621094,-103.21374,-86.75572,73.03053,10
93,-0.064208984,-0.061279297,-0.05621338,-77.07633,-80.05344,90.23664,10
94,-0.07684326,-0.0690918,-0.04663086,-37.870228,-84.41222,103.8855,10
95,-0.08685303,-0.07293701,-0.045410156,-22.549618,-81.70992,104.91603,10
96,-0.095947266,-0.06414795,-0.050720215,-35.694656,-87.9542,109.35878,10
97,-0.10253906,-0.06390381,-0.039001465,-48.70229,-65.44275,105.12214,10
98,-0.11016846,-0.06524658,-0.032165527,-44.08397,-59.305344,113.458015,10
99,-0.11669922,-0.061828613,-0.040222168,-50.572517,-67.9542,103.21374,10
100,-0.12902832,-0.057861328,-0.044189453,-42.27481,-67.03817,100.58778,10
101,-0.13140869,-0.045715332,-0.034606934,-20.343512,-47.572517,87.580154,10
102,-0.12902832,-0.04663086,-0.04724121,-6.557252,-21.694656,75,10
103,-0.11785889,-0.042175293,-0.03967285,3.2824428,-7.5496182,56.14504,10
104,-0.12414551,-0.03515625,-0.04425049,18.992367,-4.1755724,36.15267,10
105,-0.11505127,-0.03540039,-0.035888672,36.17557,-6.4580154,24.229008,10
106,-0.11999512,-0.036865234,-0.033935547,51.12214,-1.2519084,14.145039,10
107,-0.11987305,-0.04272461,-0.032104492,59.51145,0.8167939,7.2671757,10
108,-0.12072754,-0.0413208,-0.029418945,61.160305,1.5801526,2.4351146,10
109,-0.12207031,-0.03845215,-0.0052490234,65.59542,2.8625953,-0.5114504,10
110,-0.1161499,-0.044006348,-0.02319336,74.23664,12.709924,-2,10
111,-0.108947754,-0.040222168,-0.022888184,73.83206,16.954199,-2.465649,10
112,-0.105773926,-0.041809082,-0.031555176,63.366413,9.564885,-5.5648856,10
113,-0.11627197,-0.03765869,-0.022277832,67.32061,7.6030536,-4.4503818,10
114,-0.11218262,-0.029052734,-0.024719238,80.01527,18.366413,-3.6564887,10
115,-0.10992432,-0.035095215,-0.032348633,86.89313,17.458015,-4.2137403,10
116,-0.111328125,-0.036071777,-0.03338623,83.23664,6.7251906,1.259542,10
117,-0.10974121,-0.038208008,-0.029785156,84.68702,7.2519083,6.1984735,10
118,-0.10839844,-0.049560547,-0.01977539,76.56489,17.053434,14.748092,10
119,-0.107055664,-0.049194336,-0.026000977,37.961834,11.114504,17.32061,10
120,-0.10784912,-0.044311523,-0.0048828125,21.282442,6.671756,18.709923,10
121,-0.11138916,-0.04272461,-0.011962891,17.885496,3.2671757,22.732824,10
122,-0.11291504,-0.04626465,-0.02319336,11.129771,6.2748094,25.396946,10
123,-0.107543945,-0.047668457,-0.017822266,4.4656487,6.5114503,27.603054,10
124,-0.11236572,-0.045043945,-0.024780273,-2.8244274,2.7557251,30.946566,10
125,-0.11407471,-0.039855957,-0.020996094,-0.6870229,3.1374047,29.022902,10
126,-0.11328125,-0.041015625,-0.024841309,8.19084,6.7709923,24.114504,10
127,-0.12030029,-0.035339355,-0.023742676,15.671756,8.244275,21.48855,10
128,-0.11138916,-0.035217285,-0.030578613,18.885496,6.923664,14.458015,10
129,-0.12023926,-0.037231445,-0.018371582,27.778625,8.053435,11.412213,10
130,-0.11633301,-0.034179688,-0.024658203,43.778625,11.816793,10.274809,10
131,-0.11767578,-0.035461426,-0.021728516,56.9771,13.572519,6.9465647,10
132,-0.11541748,-0.03857422,-0.015197754,69.9771,14.38168,8.022901,10
133,-0.115722656,-0.042419434,-0.019165039,77.65649,15.954199,10.755725,10
134,-0.11590576,-0.041931152,-0.018554688,77.72519,15.38168,11.977099,10
135,-0.10961914,-0.045654297,-0.013427734,76.183205,15.610687,9.145039,10
136,-0.115478516,-0.042541504,-0.020996094,67.48855,15.862596,10.038168,10
137,-0.114868164,-0.044128418,-0.019165039,55.099236,14.503817,7.8015265,10
138,-0.11206055,-0.042053223,-0.016967773,43.992367,14.717557,1.0152671,10
139,-0.11651611,-0.040405273,-0.02319336,34.045803,12.396947,-2.6030533,10
140,-0.115234375,-0.038330078,-0.02319336,27.687023,11.305344,-5.6183205,10
141,-0.109558105,-0.037841797,-0.014709473,24.526718,15.045801,-6.519084,10
142,-0.113708496,-0.036499023,-0.019592285,27.473282,14.145039,-8.030535,10
143,-0.11090088,-0.039123535,-0.023925781,30.175573,14.877863,-3.7709923,10
144,-0.10876465,-0.039794922,-0.025756836,29.992367,13.450381,-1.6030535,10
145,-0.10870361,-0.039916992,-0.01763916,28.335878,14.427481,0.97709924,10
146,-0.1081543,-0.040527344,-0.02520752,29.015266,14.053435,4.7938933,10
147,-0.11328125,-0.041931152,-0.025756836,26.717558,14.656488,3.9847329,10
148,-0.11248779,-0.043884277,-0.022338867,22.450382,11.603053,5.4351144,10
149,-0.11437988,-0.04248047,-0.016540527,18.51145,8.763359,4.6183205,10
150,-0.11254883,-0.041992188,-0.020141602,14.145039,8.053435,6.152672,10
151,-0.115112305,-0.041137695,-0.018310547,9.80916,8.0992365,2.3206108,10
152,-0.10772705,-0.046813965,-0.022094727,5.4885497,5.9465647,3.664122,10
153,-0.10797119,-0.04309082,-0.018005371,-0.20610687,0.7557252,1.1755725,10
154,-0.109436035,-0.041503906,-0.019104004,-2.4961832,-1.2519084,0.053435113,10
155,-0.111206055,-0.04284668,-0.020080566,-4.3587785,-1.5496184,-0.13740458,10
156,-0.11242676,-0.041381836,-0.01574707,-8.305344,-1.6412214,-0.99236643,10
157,-0.11029053,-0.043273926,-0.02532959,-12.366412,-5.671756,-2.9923663,10
158,-0.115478516,-0.036315918,-0.027893066,-16.213741,-5.7633586,-3.534351,10
159,-0.11425781,-0.039855957,-0.024291992,-11.038168,-4.038168,-6.1374044,10
160,-0.10900879,-0.036010742,-0.027404785,-4.7862597,-1.9465649,-5.7862597,10
161,-0.111083984,-0.03668213,-0.025634766,-0.06870229,-3.648855,-4.19084,10
162,-0.11291504,-0.041809082,-0.02520752,0.90076333,-2.206107,-3.1755726,10
163,-0.11364746,-0.037902832,-0.023254395,1.0229008,-0.78625953,-3.0305343,10
164,-0.117248535,-0.034423828,-0.0256958,1.0152671,-0.5801527,-2.519084,10
165,-0.11810303,-0.03753662,-0.022949219,-1.7938931,0.015267176,-3.9312978,10
166,-0.113342285,-0.03967285,-0.028503418,-1.6717557,2.129771,-3.778626,10
167,-0.1159668,-0.03955078,-0.024902344,-2.221374,1.0229008,-4.1984735,10
168,-0.11279297,-0.034973145,-0.020141602,-4.3511453,1.70229,-6.3893127,10
169,-0.11273193,-0.0345459,-0.02532959,-5.8015265,2.2519083,-7.5419846,10
170,-0.11602783,-0.036010742,-0.023986816,-3.038168,1.3282443,-6.7328243,10
171,-0.11029053,-0.033935547,-0.020385742,2.6183207,1.4503816,-6.0839696,10
172,-0.108947754,-0.036987305,-0.021118164,10.030535,2.4122138,-2.648855,10
173,-0.109375,-0.040649414,-0.017089844,9.519084,1.3053435,-5.29771,10
174,-0.11010742,-0.03466797,-0.018005371,8.641221,0.35114503,-5.2061067,10
175,-0.11053467,-0.038269043,-0.025817871,7.7251906,-0.20610687,-4.1679387,10
176,-0.11273193,-0.03741455,-0.018859863,10.244275,1.221374,-3.29771,10
177,-0.1116333,-0.04095459,-0.03704834,8.229008,-0.89312977,-3.1068702,10
178,-0.11590576,-0.04095459,-0.028381348,4.4351144,0.55725193,-0.18320611,10
179,-0.11553955,-0.040405273,-0.028381348,7.6488547,1.8625954,-1.6259542,10
180,-0.11767578,-0.04107666,-0.026611328,10.564885,3.740458,-2.648855,10
