measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
49.0,0.14141846,-0.019958496,0.05895996,-110.824425,-60.709923,-54.282444,257.0,-29813.0,0.0
50.0,0.13128662,-0.01776123,0.055114746,-124.0,-35.946564,-40.068703,257.0,-29813.0,0.0
51.0,0.13433838,-0.024719238,0.053955078,-115.59542,-40.801525,-37.27481,257.0,-29813.0,0.0
52.0,0.13671875,-0.030822754,0.05328369,-104.63359,-19.259542,-27.694656,257.0,-29813.0,0.0
53.0,0.12908936,-0.036071777,0.05407715,-84.08397,-2.0687022,-20.526718,257.0,-29813.0,0.0
54.0,0.1227417,-0.039123535,0.05407715,-65.8855,9.641221,-16.70229,257.0,-29813.0,0.0
55.0,0.12609863,-0.041381836,0.054748535,-50.870228,15.206107,-19.89313,257.0,-29813.0,0.0
56.0,0.124938965,-0.045532227,0.053588867,-35.732826,26.93893,-15.503817,257.0,-29813.0,0.0
57.0,0.11987305,-0.04827881,0.051330566,-20.480917,29.610687,-11.282443,257.0,-29813.0,0.0
58.0,0.1305542,-0.04534912,0.039611816,-8.793893,38.67939,-3.0076337,257.0,-29813.0,0.0
59.0,0.13641357,-0.04449463,0.039367676,-2.0839694,49.93893,13.206107,257.0,-29813.0,0.0
60.0,0.14794922,-0.04711914,0.03326416,-1.4961832,58.59542,32.183205,257.0,-29813.0,0.0
61.0,0.16015625,-0.045166016,0.020629883,-2.5877862,66.496185,60.862595,257.0,-29813.0,0.0
62.0,0.17504883,-0.042541504,0.014953613,0.7099237,69.35878,94.24428,257.0,-29813.0,0.0
63.0,0.18579102,-0.036621094,0.011169434,5.2900763,70.57252,132.16794,257.0,-29813.0,0.0
64.0,0.18353271,-0.0289917,0.011230469,4.5725193,68.862595,172.64122,257.0,-29813.0,0.0
65.0,0.17303467,-0.026306152,0.015991211,12.488549,61.564884,202.40459,257.0,-29813.0,0.0
66.0,0.16595459,-0.027709961,0.021728516,23.740458,50.290077,222.21375,257.0,-29813.0,0.0
67.0,0.15209961,-0.020507812,0.026306152,31.343512,44.251907,233.50381,257.0,-29813.0,0.0
68.0,0.14001465,-0.021850586,0.022888184,27.687023,41.65649,232.03816,257.0,-29813.0,0.0
69.0,0.1272583,-0.023071289,0.026428223,26.633587,36.91603,222.62596,257.0,-29813.0,0.0
70.0,0.1194458,-0.024658203,0.030212402,47.12214,40.40458,204.67175,257.0,-29813.0,0.0
71.0,0.1081543,-0.018371582,0.02734375,61.0229,44.72519,181.8626,257.0,-29813.0,0.0
72.0,0.09429932,-0.01776123,0.026000977,62.32061,48.51145,156.94656,257.0,-29813.0,0.0
73.0,0.08325195,-0.0146484375,0.03137207,57.053436,45.992367,126.96183,257.0,-29813.0,0.0
74.0,0.0769043,-0.013916016,0.03186035,43.778625,38.946564,93.70992,257.0,-29813.0,0.0
75.0,0.07763672,-0.015136719,0.033447266,29.625954,26.76336,54.244274,257.0,-29813.0,0.0
76.0,0.08105469,-0.01953125,0.033569336,17.534351,12.083969,14.374045,257.0,-29556.0,0.0
77.0,0.08526611,-0.022949219,0.03656006,6.70229,-5.114504,-32.67939,257.0,-29556.0,0.0
