measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0,0.05505371,0.03753662,-0.09680176,-0.17557251,0.4351145,-3.6259542,6
1,0.051086426,0.03692627,-0.08905029,-0.45801526,1.6030535,-3.167939,6
2,0.054992676,0.040283203,-0.08874512,0.67175573,1.1374046,-3.312977,6
3,0.05419922,0.035705566,-0.09033203,0.3129771,2.9007633,-4.374046,6
4,0.047912598,0.039611816,-0.08972168,1.778626,2.3053436,-4.8244276,6
5,0.050598145,0.038269043,-0.08868408,0.259542,1.4122137,-3.793893,6
6,0.049926758,0.03857422,-0.09008789,0.648855,1.9389313,-3.610687,6
7,0.05230713,0.033935547,-0.090148926,-0.7251908,0.3129771,-2.3816793,6
8,0.04901123,0.039489746,-0.08935547,-1.1603054,1.5572519,-3.7709923,6
9,0.05517578,0.037719727,-0.07824707,-0.70229006,0.67175573,-4.7633586,6
10,0.049926758,0.036743164,-0.08074951,-1.2442749,0.870229,-4.557252,6
11,0.053100586,0.037353516,-0.09124756,-1.1221374,2.2519083,-5.2824426,6
12,0.049743652,0.03930664,-0.08520508,-1.2061069,1.7175573,-4.2519083,6
13,0.050598145,0.03741455,-0.08892822,1.167939,2.9160306,-5.2671757,6
14,0.05267334,0.03741455,-0.09112549,-0.5114504,2.259542,-3.6946564,6
15,0.05303955,0.03765869,-0.084106445,0.55725193,1.2290076,-3.519084,6
16,0.05517578,0.034118652,-0.09527588,-1.2519084,1.221374,-4.9694657,6
17,0.052612305,0.037109375,-0.07446289,-1.480916,0.5954198,-4.0229006,6
18,0.05291748,0.038085938,-0.071899414,-0.091603056,1.0076336,-3.038168,6
19,0.05303955,0.036987305,-0.08569336,-0.54198474,1.1984733,-5.0152674,6
20,0.052856445,0.03869629,-0.06768799,0.259542,0.60305345,-4.8396945,6
21,0.052246094,0.03656006,-0.08880615,-1.1068702,1.5496184,-3.8244274,6
22,0.05291748,0.037231445,-0.07055664,0.2977099,0.4274809,-5.5496182,6
23,0.05255127,0.037109375,-0.08685303,-0.8396947,0.47328246,-2.7251909,6
24,0.052001953,0.036987305,-0.088012695,-1.0534351,0.16030534,-2.3969467,6
25,0.051635742,0.037109375,-0.087524414,-0.3053435,1.0534351,-2.6793892,6
26,0.05218506,0.036987305,-0.08703613,-2.6564887,2.0839694,-4.2519083,6
27,0.0513916,0.038146973,-0.08703613,-1.8091604,0.10687023,-1.832061,6
28,0.05230713,0.03729248,-0.08795166,-0.122137405,0.2519084,-2.3206108,6
29,0.05279541,0.03753662,-0.07476807,-0.6870229,1.0458015,-2.2824428,6
30,0.051757812,0.03753662,-0.08874512,-1.2137405,0.96183205,-3.793893,6
31,0.052124023,0.037109375,-0.083740234,-0.9236641,0.65648854,-3.053435,6
32,0.051330566,0.038208008,-0.088256836,-0.77099234,0.77099234,-2.7175572,6
33,0.051696777,0.03942871,-0.087768555,-0.3129771,1.1755725,-3.259542,6
34,0.051940918,0.03955078,-0.0881958,1.0763359,1.4503816,-4.6030536,6
35,0.05041504,0.038208008,-0.08685303,2.3206108,-0.007633588,-5.519084,6
36,0.05090332,0.037353516,-0.06817627,1.8015267,2.0152671,-5.671756,6
37,0.051330566,0.037109375,-0.089416504,-0.129771,2.4351146,-5.4656487,6
38,0.051452637,0.03845215,-0.068359375,-1.1908396,3.076336,-3.6793892,6
39,0.05279541,0.03869629,-0.08001709,0.15267175,2.7709923,-2.1145039,6
40,0.053894043,0.038330078,-0.09051514,1.6412214,1.259542,-1.7938931,6
41,0.05316162,0.037475586,-0.09185791,2.6412213,0.6870229,-3.0610688,6
42,0.053588867,0.0345459,-0.08148193,1.259542,-0.58778626,-2.4885497,6
43,0.05493164,0.033996582,-0.083984375,-1.908397,-2.740458,-1.6183206,6
44,0.05218506,0.036010742,-0.078186035,-3.3969467,-4.0916033,-3.534351,6
45,0.051940918,0.03729248,-0.08355713,-2.4732823,-5.625954,-3.1450381,6
46,0.052612305,0.03765869,-0.090148926,-2.832061,-6.3053436,-4.7557254,6
47,0.05114746,0.036743164,-0.0770874,-3.6259542,-5.9160304,-3.5496182,6
48,0.049743652,0.03845215,-0.09051514,-2.8854961,-4.740458,-3.6183207,6
49,0.049804688,0.038757324,-0.07220459,-3.1755726,-4.0534353,-6.114504,6
50,0.047546387,0.038635254,-0.075927734,-1.0839695,-3.534351,-5.7175574,6
51,0.05267334,0.041259766,-0.079711914,1.8244275,-4.2061067,-4.1221375,6
52,0.046447754,0.03741455,-0.08666992,0.9160305,-5.6106873,-4.4274807,6
53,0.04699707,0.03564453,-0.08416748,0.045801528,-7.480916,-4.9465647,6
54,0.050964355,0.03265381,-0.08026123,-4.9847326,-4.2824426,-3.5648854,6
55,0.05078125,0.034484863,-0.08380127,-8.442748,-5.0916033,0.53435117,6
56,0.0501709,0.034484863,-0.054016113,-11.19084,-5.3511453,5.4885497,6
