measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Label
0,0.061767578,-0.09814453,-0.026123047,1.5877863,-22.885496,3.3053436,0
1,0.058288574,-0.117004395,-0.013366699,31.839695,-1.0534351,4.9847326,0
2,0.036987305,-0.12194824,-0.032287598,-95,-43.335876,-7.9007635,0
3,0.010131836,-0.12786865,0.027832031,5.4503818,-6.9389315,-11.5801525,0
4,0.03387451,-0.111450195,0.0032348633,-8.885496,-10.106871,-7.4580154,0
5,0.049316406,-0.13134766,0.030578613,-2.0839694,8.305344,-9.557252,0
6,0.05731201,-0.11199951,0.013122559,-4.038168,4.557252,-7.0076337,0
7,0.060058594,-0.11651611,0.006958008,-2.9160306,3.2290077,0.6946565,0
8,0.059448242,-0.10687256,0.0014038086,1.7633588,6.5801525,-3.8931298,0
9,0.056884766,-0.12121582,0.0018310547,-7.5419846,2.5877862,-2.8473282,0
10,0.12408447,-0.22729492,-0.005493164,-11.244275,-0.022900764,-12.748092,0
11,0.07647705,-0.23016357,-0.003112793,-4.80916,2.3282442,-0.16793893,0
12,0.10028076,-0.23370361,-0.03540039,0.22900763,3.221374,-1.8015267,0
13,0.08856201,-0.2300415,-0.013916016,-0.47328246,2.1450381,1.0610687,0
14,-0.0032958984,-0.07910156,-0.23529053,46.46565,12.458015,34.312977,0
15,-0.005004883,-0.11639404,-0.20361328,6.259542,6.4961834,-5.480916,0
16,-0.002319336,-0.13928223,-0.18878174,0.39694658,5.7251906,-4.4274807,0
17,-0.0003051758,-0.16210938,-0.17468262,6.366412,4.374046,-4.259542,0
18,0.006286621,-0.19854736,-0.1807251,-1.2748091,8.351145,-4.152672,0
19,0.0178833,-0.2098999,-0.18408203,-14.442748,-2.8625953,-10.137404,0
20,0.014770508,-0.12713623,-0.058532715,-9.78626,-1.1450381,12.732824,0
21,0.05706787,-0.17956543,-0.15588379,-9.7786255,-9.40458,-5.5114503,0
22,0.036743164,-0.1505127,-0.14233398,-5.5801525,4.5496182,-2.7328243,0
23,0.033691406,-0.1560669,-0.18273926,2.923664,-0.015267176,-1.778626,0
24,0.045288086,-0.101867676,-0.17944336,-3.648855,-7.7862597,0.78625953,0
25,0.045532227,-0.12921143,-0.17236328,-10.152672,4.4198475,-5.4198475,0
26,0.09967041,-0.20239258,0.13537598,-8.282443,10.229008,-8.083969,0
27,0.09802246,-0.19274902,0.14263916,7.8702292,-2.183206,-7.19084,0
28,0.038757324,-0.13983154,0.09136963,-33.52672,-4.10687,-2,0
29,0.08117676,-0.17340088,0.121032715,-1.3358779,0.08396947,-43.44275,0
30,0.1873169,-0.1671753,0.06707764,27.366413,-17.770992,-20.114504,0
31,0.1552124,-0.19403076,0.05859375,4.5648856,5.221374,7.9770994,0
32,0.19787598,-0.16723633,0.01739502,2.8854961,2.3816793,-24.61832,0
33,0.21929932,-0.122680664,0.0048828125,-0.7557252,6.0610685,-7.366412,0
34,0.20562744,-0.1260376,0.023925781,-1.4351145,1.0152671,-8.114504,0
35,0.22216797,-0.11853027,0.030578613,-2.1526718,0.9541985,-8.320611,0
36,0.20947266,-0.09136963,0.021911621,9.564885,10.206107,-0.15267175,0
37,0.21673584,-0.1015625,0.026245117,5.5648856,-8.496183,9.671756,0
38,0.20050049,-0.1560669,0.030151367,9.519084,3.129771,6.442748,0
39,0.20019531,-0.14428711,0.053649902,2.2442749,6.29771,-2.480916,0
40,0.19482422,-0.14794922,0.04260254,2.389313,0.49618322,-4.2900763,0
41,0.19317627,-0.1762085,0.05999756,-25.89313,3.7557251,-4.1297708,0
42,0.11798096,-0.22406006,0.03137207,15.946565,23.839695,42.954197,0
43,0.099731445,-0.2310791,0.07537842,-1.1832061,0.3816794,6.2824426,0
44,0.08312988,-0.23535156,0.051330566,61.06107,9.282443,-3.1526718,0
45,0.16442871,-0.1864624,-0.10626221,22.12977,18.022902,-46.328243,0
46,0.09851074,-0.056884766,-0.21948242,39.648853,-4.7633586,38.312977,0
47,-0.012207031,0.026428223,-0.24621582,-1.7480916,-2.8091602,2.29771,0
48,0.03387451,0.010070801,-0.23809814,10.992367,15.305344,-3.6259542,0
49,0.16430664,-0.17712402,-0.011413574,46.64122,25.08397,-5.557252,0
50,0.109558105,-0.118896484,-0.17175293,-32.53435,-4,8.152672,0
51,0.15759277,-0.13092041,-0.105285645,142.69466,33.244274,24.793894,0
52,0.12414551,-0.15057373,-0.09887695,-69.64122,-15.053435,2.8778627,0
53,0.05029297,-0.040527344,-0.23486328,-8.801527,3.053435,-0.7557252,0
54,0.09295654,-0.22155762,-0.016296387,7.480916,-11.908397,25.786259,0
55,0.04547119,-0.17553711,-0.023803711,8.297709,6.7938933,-1.4351145,0
56,0.028625488,-0.21136475,-0.062927246,-45.755726,-5.4351144,7.1297708,0
57,0.06756592,-0.23608398,-0.040222168,-0.053435113,4.6488547,-2.8473282,0
58,0.070617676,-0.21691895,-0.016784668,-2.0992367,3.2290077,-5.1984735,0
59,0.083862305,-0.20739746,-0.04498291,-1.7862595,0.89312977,0.122137405,0
60,0.12884521,-0.19256592,-0.073913574,32.450382,0.3129771,17.328245,0
61,0.06732178,-0.1831665,-0.073791504,14.198473,8.801527,-3.2366412,0
62,0.095947266,-0.24316406,-0.050048828,-2.4961832,4.9465647,-1.778626,0
63,0.09655762,-0.24969482,-0.05895996,-0.45038167,7.114504,-0.9389313,0
64,0.09326172,-0.2548828,-0.05621338,2.908397,8.992367,1.1068702,0
65,0.091552734,-0.22497559,-0.05328369,-9.763359,6.8015265,6.4351144,0
66,0.09625244,-0.23400879,-0.06414795,4.9847326,9.61832,-2.9923663,0
67,0.042297363,-0.2043457,-0.12194824,-70.862595,-23.931297,9.641221,0
68,0.20178223,-0.34204102,0.19805908,250.12978,-37.14504,-23.610687,0
69,0.13781738,-0.17974854,0.10058594,-4.114504,-0.9465649,-5.7328243,0
70,0.11981201,-0.21887207,-0.076538086,-43.46565,-22.877863,-1.6335878,0
71,0.10461426,-0.17913818,-0.10620117,-19.87023,1.3816794,1.9923664,0
72,0.11065674,-0.20776367,-0.10656738,0.3816794,3.4122138,0.34351146,0
73,0.10534668,-0.18841553,-0.11779785,1.8854961,4.6946564,1.4274809,0
74,0.091796875,-0.18786621,-0.12145996,-11.916031,2.480916,-0.53435117,0
75,0.097595215,-0.20239258,-0.13531494,7.8702292,4.2366414,0.06870229,0
76,0.088256836,-0.19049072,-0.11999512,3.6564887,5.145038,-2.5648854,0
77,0.05419922,-0.25665283,-0.10638428,5.40458,1.740458,-2.3587787,0
78,0.05444336,-0.1998291,-0.093933105,2.4885497,3.9389312,1.5877863,0
79,0.06085205,-0.18426514,-0.11303711,-3.534351,3.0992367,1.221374,0
80,0.089416504,-0.17352295,-0.14868164,-13.045801,1.5954199,-1.6335878,0
81,0.09942627,-0.17602539,-0.14630127,5.9694657,2.6030533,-2.29771,0
82,0.09466553,-0.13848877,-0.15863037,-13.954199,1.4656489,-3.5877862,0
83,0.089416504,-0.17712402,-0.113342285,30.412214,2.7328243,-5.847328,0
84,0.06768799,-0.19726562,-0.11645508,4.0305343,1.648855,-2.740458,0
85,0.24334717,-0.25195312,-0.12567139,16.389313,42.221375,-85.70992,0
86,0.045043945,-0.21087646,-0.13665771,-2.1908398,-1.1908396,13.045801,0
87,0.06097412,-0.20007324,-0.095336914,1.7709924,2.1908398,1.3282443,0
88,0.05230713,-0.20019531,-0.10272217,9.435115,7.4274807,-0.6259542,0
89,0.01940918,-0.22387695,-0.15246582,14.022901,-14.549619,-22.29771,0
90,0.07952881,-0.20031738,-0.10913086,-7.7557254,-10.862596,-30.717558,0
91,0.06768799,-0.23382568,-0.04626465,1.5496184,3.206107,-3.6564887,0
92,0.055480957,-0.23034668,-0.05999756,0.22900763,1.8015267,-5.412214,0
93,0.061645508,-0.23217773,-0.04296875,-0.16030534,1.4122137,-3.4122138,0
94,0.07354736,-0.22833252,-0.05493164,-1.2442749,1.9770992,-2.3664122,0
95,0.06915283,-0.2296753,-0.057800293,-0.49618322,2,-0.27480915,0
96,0.062072754,-0.21838379,-0.05041504,-1.4580153,1.0152671,-4.0916033,0
97,0.07336426,-0.2208252,-0.055786133,1.3435115,2.687023,-2.1450381,0
98,0.055358887,-0.22796631,-0.05908203,-0.8015267,1.4732825,-0.41221374,0
99,0.06213379,-0.23309326,-0.05267334,-1.4580153,2.664122,-3.480916,0
100,0.073913574,-0.23077393,-0.01159668,-0.53435117,8.450381,-0.58778626,0
101,0.049621582,-0.24780273,-0.02142334,-0.96183205,6.7633586,1.0229008,0
102,0.036010742,-0.24291992,-0.022155762,-2.0076337,1.4122137,-2.9694657,0
103,0.05328369,-0.24420166,-0.06903076,-2.6412213,-3.2519083,-3.2671757,0
104,0.06542969,-0.23321533,-0.06866455,-1.3206106,-1.8931298,-4.328244,0
105,0.06665039,-0.24365234,-0.053466797,-3.3206108,-3.7709923,-3.5038168,0
106,0.07611084,-0.22027588,-0.07873535,4.9770994,2.4351146,2.832061,0
107,0.079589844,-0.21740723,-0.061706543,2.6793892,3.312977,-5.10687,0
108,0.09918213,-0.20135498,-0.0524292,0.73282444,1.4198474,-5.0152674,0
109,0.09918213,-0.20709229,-0.055541992,0.8778626,3.557252,-2.6717558,0
110,0.16436768,-0.20043945,0.070251465,-63.53435,-25.931297,-54.51145,0
111,0.22039795,0.0012817383,0.0072021484,-43.50382,44.450382,-29.877863,0
112,0.2781372,-0.03845215,0.040100098,-14.9007635,-7.7175574,-0.34351146,0
113,0.13830566,-0.20684814,-0.09692383,-20.503817,-27.389313,30.32061,0
114,0.117248535,-0.16320801,-0.04425049,53.900764,28.969465,9.80916,0
115,0.09857178,-0.2154541,0.0949707,-11.832061,-5.3511453,5.8778625,0
116,0.07684326,-0.21673584,0.09472656,0.022900764,1.0152671,-2.4122138,0
117,0.09387207,-0.20770264,0.10614014,4.6106873,1.6717557,-0.97709924,0
118,0.06591797,-0.21960449,0.088134766,-0.47328246,-2.2442749,0.053435113,0
119,0.08538818,-0.22625732,0.08850098,-0.27480915,3.3282442,-3.778626,0
120,0.07543945,-0.21826172,0.1184082,-0.24427481,4.328244,-1.6870229,0
121,0.055114746,-0.2388916,0.12054443,-9.19084,0.79389316,6.328244,0
122,0.07684326,-0.19348145,0.09265137,8.854961,7.4732823,-2.687023,0
123,0.070251465,-0.19476318,0.10845947,-11.297709,-6.0534353,-6.40458,0
124,0.084350586,-0.23779297,0.09674072,-2.0305343,2.5038168,-4.1297708,0
125,0.076293945,-0.2255249,0.0703125,-6.1221375,-2.40458,-2.3435113,0
126,0.112854004,-0.28308105,0.068603516,6.2671757,1.389313,-6.4274807,0
127,0.037475586,-0.26104736,0.0635376,3.5038168,-0.86259544,-2.335878,0
128,0.06970215,-0.2975464,0.07354736,-9.091603,-5.1984735,0.32824427,0
129,0.06109619,-0.2654419,0.024475098,-3.1603053,-8.816793,-5.633588,0
130,0.045410156,-0.22131348,0.028259277,1.7251909,-3.5419848,3.9007633,0
131,0.038146973,-0.27044678,0.028503418,5.4732823,-3.1908398,-2.6335878,0
132,0.038635254,-0.30725098,0.038757324,3.4198472,3.3664122,1.9923664,0
133,0.057128906,-0.22601318,0.059692383,1.4580153,-1.6641221,-6.1221375,0
134,0.083862305,-0.22979736,0.049865723,2.0839694,-1.0076336,-3.2671757,0
135,0.081848145,-0.21228027,0.058654785,5.7557254,6.0839696,-6.3129773,0
136,0.08392334,-0.23608398,0.07128906,-2.9923663,4.519084,3.687023,0
137,0.12536621,-0.23034668,0.06524658,5.2748094,9.709924,0.19847329,0
138,0.07800293,-0.24273682,0.0524292,-9.526717,-2.1984732,2.648855,0
